,ac_power_inv_17361_daily_max,ac_power_inv_17361_daily_mean
2018-01-01,0.048,0.033320987654320976
2018-01-02,0.049,0.031693181818181794
2018-01-03,0.05,0.02837931034482757
2018-01-04,0.057,0.04015789473684207
2018-01-05,0.0589999999999999,0.03942857142857138
2018-01-06,0.063,0.04222619047619044
2018-01-07,0.023,0.010267441860465088
2018-01-08,1.669,0.6699320388349514
2018-01-09,1.109,0.40327027027027024
2018-01-10,0.309,0.13949999999999999
2018-01-11,0.183,0.04850925925925923
2018-01-12,1.276,0.5812232142857142
2018-01-13,1.96,1.0412136752136751
2018-01-14,0.556,0.27610714285714283
2018-01-15,0.1029999999999999,0.04954716981132072
2018-01-16,1.577,0.6564594594594595
2018-01-17,2.014,1.0857565217391303
2018-01-18,1.976,1.0633879310344827
2018-01-19,1.547,0.6973050847457627
2018-01-20,1.848,0.8735128205128204
2018-01-21,0.2239999999999999,0.0909345794392523
2018-01-22,1.5519999999999998,0.48575454545454544
2018-01-23,0.5899999999999999,0.14963888888888888
2018-01-24,1.737,0.4202162162162162
2018-01-25,1.867,0.939375
2018-01-26,1.494,0.44678813559322034
2018-01-27,1.911,1.05685593220339
2018-01-28,0.789,0.2580413223140495
2018-01-29,1.117,0.3888547008547008
2018-01-30,2.047,0.704983193277311
2018-01-31,0.695,0.26517796610169486
2018-02-01,2.0780000000000003,1.116560975609756
2018-02-02,2.093,1.074175
2018-02-03,0.4129999999999999,0.21476068376068372
2018-02-04,0.644,0.24681355932203386
2018-02-05,0.703,0.1834736842105263
2018-02-06,0.4089999999999999,0.13736190476190474
2018-02-07,0.421,0.10452499999999998
2018-02-08,0.4,0.17500826446280987
2018-02-09,0.0259999999999999,0.013291666666666646
2018-02-10,0.025,0.014171428571428559
2018-02-11,0.084,0.028941176470588213
2018-02-12,0.709,0.23470731707317066
2018-02-13,1.151,0.4428267716535433
2018-02-14,2.113,0.7232258064516128
2018-02-15,1.271,0.4640393700787401
2018-02-16,2.198,1.2261889763779528
2018-02-17,1.07,0.31242187499999996
2018-02-18,1.884,0.8930615384615385
2018-02-19,0.7369999999999999,0.17444444444444443
2018-02-20,0.188,0.064155737704918
2018-02-21,1.028,0.4695271317829457
2018-02-22,0.7659999999999999,0.30406349206349204
2018-02-23,0.5579999999999999,0.23589922480620154
2018-02-24,0.75,0.25148387096774194
2018-02-25,2.209,1.1951353383458647
2018-02-26,2.153,1.1464444444444446
2018-02-27,2.051,0.9813925925925926
2018-02-28,1.8,0.5074360902255638
2018-03-01,1.857,0.688827067669173
2018-03-02,2.168,0.9762101449275363
2018-03-03,2.126,1.1635777777777778
2018-03-04,2.1790000000000003,1.178153284671533
2018-03-05,0.3379999999999999,0.09289922480620152
2018-03-06,0.563,0.24389999999999998
2018-03-07,2.219,0.9337410071942446
2018-03-08,2.226,1.1583262411347517
2018-03-09,2.165,1.1480071942446044
2018-03-10,2.083,0.9281582733812951
2018-03-11,2.19,1.0490071428571428
2018-03-12,2.076,0.8640575539568345
2018-03-13,1.993,0.8598239436619718
2018-03-14,2.251,1.1712916666666666
2018-03-15,2.1630000000000003,1.1462569444444446
2018-03-16,1.938,0.812013986013986
2018-03-17,2.074,0.7312340425531915
2018-03-18,2.165,1.0844444444444443
2018-03-19,1.936,0.9493216783216782
2018-03-20,1.862,0.8175342465753425
2018-03-21,2.24,1.1903537414965986
2018-03-22,2.1180000000000003,1.1344625850340135
2018-03-23,1.763,0.8059520547945205
2018-03-24,0.503,0.1959565217391304
2018-03-25,2.249,1.0897434210526316
2018-03-26,0.8399999999999999,0.3716197183098591
2018-03-27,1.137,0.33241780821917805
2018-03-28,0.964,0.3946824324324324
2018-03-29,1.351,0.5190133333333332
2018-03-30,2.136,1.0535666666666665
2018-03-31,2.019,0.8620942028985507
2018-04-01,1.079,0.4375324675324675
2018-04-02,1.505,0.6420529801324504
2018-04-03,0.465,0.12934693877551018
2018-04-04,2.011,0.7786081081081081
2018-04-05,1.249,0.42979470198675496
2018-04-06,1.949,0.7020326797385621
2018-04-07,2.254,1.2197628205128204
2018-04-08,2.109,0.8495779220779222
2018-04-09,1.079,0.31476190476190474
2018-04-10,2.191,0.827
2018-04-11,2.053,0.7539673202614379
2018-04-12,1.972,0.8384585987261147
2018-04-13,0.4889999999999999,0.1349084967320261
2018-04-14,0.504,0.1515878378378378
2018-04-15,0.642,0.2184117647058823
2018-04-16,0.8559999999999999,0.34977272727272724
2018-04-17,1.943,0.7631249999999999
2018-04-18,0.3229999999999999,0.1122064516129032
2018-04-19,2.246,1.1521375
2018-04-20,2.213,1.1441428571428571
2018-04-21,1.5659999999999998,0.4693270440251572
2018-04-22,2.2030000000000003,1.0174539877300612
2018-04-23,2.03,0.9560613496932515
2018-04-24,2.08,1.0633312883435584
2018-04-25,2.157,1.1329878787878789
2018-04-26,1.903,0.9392289156626507
2018-04-27,2.146,0.870556886227545
2018-04-28,2.213,1.1370416666666667
2018-04-29,2.168,1.1445030303030301
2018-04-30,2.093,1.0346526946107786
2018-05-01,1.516,0.678564417177914
2018-05-02,2.019,0.8997914110429448
2018-05-03,1.5719999999999998,0.47294610778443114
2018-05-04,2.117,1.047251497005988
2018-05-05,2.028,1.0307941176470587
2018-05-06,2.039,1.0238511904761904
2018-05-07,2.023,1.03575
2018-05-08,1.928,0.962094674556213
2018-05-09,2.022,0.7431975308641975
2018-05-10,2.027,0.9594235294117647
2018-05-11,1.083,0.40076047904191614
2018-05-12,1.6369999999999998,0.4064709677419354
2018-05-13,0.914,0.34684
2018-05-14,1.98,0.6719466666666667
2018-05-15,1.622,0.6888620689655172
2018-05-16,1.955,1.020897142857143
2018-05-17,1.974,0.8544237288135593
2018-05-18,1.86,0.7125714285714285
2018-05-19,1.888,0.7026176470588235
2018-05-20,0.78,0.3202071005917159
2018-05-21,0.645,0.2703952095808383
2018-05-22,1.611,0.6072873563218391
2018-05-23,1.918,0.9379661016949151
2018-05-24,1.953,0.9600790960451977
2018-05-25,1.875,0.62708
2018-05-26,1.921,0.9944636871508379
2018-05-27,1.866,0.9442429378531073
2018-05-28,1.868,0.931271186440678
2018-05-29,1.422,0.5872458100558658
2018-05-30,2.0580000000000003,0.6040898876404494
2018-05-31,1.979,0.8186813186813187
2018-06-01,1.984,0.9343867403314917
2018-06-02,1.927,0.6664426229508196
2018-06-03,2.081,1.037642857142857
2018-06-04,2.001,1.0092472527472527
2018-06-05,1.919,0.9376871508379888
2018-06-06,1.998,0.8675593220338983
2018-06-07,1.861,0.9201508379888268
2018-06-08,1.733,0.4726666666666666
2018-06-09,1.759,0.735462962962963
2018-06-10,1.239,0.2540344827586206
2018-06-11,1.186,0.3746187845303867
2018-06-12,0.75,0.2411944444444444
2018-06-13,2.035,1.0183715846994534
2018-06-14,0.778,0.31240760869565215
2018-06-15,1.898,0.8049545454545455
2018-06-16,1.857,0.8718397790055249
2018-06-17,1.866,0.9261555555555555
2018-06-18,1.961,0.966245810055866
2018-06-19,1.965,0.5257514124293785
2018-06-20,1.808,0.579047619047619
2018-06-21,0.697,0.1793895348837209
2018-06-22,0.898,0.2363976608187134
2018-06-23,1.996,0.8822555555555555
2018-06-24,1.872,0.9645888888888889
2018-06-25,1.933,0.7834699453551912
2018-06-26,1.654,0.5507765363128492
2018-06-27,1.999,0.843281767955801
2018-06-28,2.041,0.7755274725274725
2018-06-29,1.889,0.9591325966850829
2018-06-30,1.969,0.9228089887640449
2018-07-01,1.771,0.6149726775956283
2018-07-02,1.912,0.977620879120879
2018-07-03,1.915,0.925032967032967
