measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,poa_irradiance__421,system_id
2018-12-09 00:19:00,,,0.0,,,,10
2018-12-09 03:20:00,,,0.0,,,,10
2018-12-09 04:27:00,,,0.0,,,,10
2018-12-09 07:20:00,,,118.0,,,,10
2018-12-09 07:23:00,,,145.0,,,,10
2018-12-09 08:18:00,,,,,,422.0,10
2018-12-09 08:41:00,,,247.0,,,,10
2018-12-09 09:31:00,,,235.0,,,,10
2018-12-09 09:38:00,,,,,,752.0,10
2018-12-09 09:39:00,,,,853.0,,,10
2018-12-09 10:03:00,,,239.0,,,,10
2018-12-09 10:44:00,,,,1029.0,,,10
2018-12-09 10:50:00,,,,1035.0,,,10
2018-12-09 10:52:00,,,,1035.0,,,10
2018-12-09 11:05:00,879.0,,,,,,10
2018-12-09 11:10:00,,,,1062.0,,,10
2018-12-09 11:18:00,,,,1063.0,,,10
2018-12-09 11:22:00,,,,1065.0,,,10
2018-12-09 11:24:00,,,,1057.0,,,10
2018-12-09 11:42:00,,,,1091.0,,,10
2018-12-09 11:44:00,,,,1090.0,,,10
2018-12-09 11:53:00,,,,1092.0,,,10
2018-12-09 11:54:00,,,,1091.0,,,10
2018-12-09 11:55:00,,,,1098.0,,1005.0,10
2018-12-09 11:56:00,,,,1094.0,,1004.0,10
2018-12-09 12:00:00,,,,,,1003.0,10
2018-12-09 12:01:00,,,,1090.0,,,10
2018-12-09 12:07:00,,,234.0,,,,10
2018-12-09 14:08:00,,,,852.0,,,10
2018-12-09 14:31:00,,124.0,,,,,10
2018-12-09 14:33:00,,,,,15.0,,10
2018-12-09 14:35:00,,,,,,703.0,10
2018-12-09 14:37:00,,,,759.0,,,10
2018-12-09 14:40:00,,,,740.0,,,10
2018-12-09 15:29:00,,123.0,,,,,10
2018-12-09 15:42:00,,,,,,369.0,10
2018-12-09 16:01:00,177.0,,,,,,10
2018-12-09 16:02:00,,,,206.0,,,10
2018-12-09 16:39:00,,,,,,0.0,10
2018-12-09 18:36:00,,,,0.0,,,10
2018-12-09 20:43:00,,122.0,,,,,10
2018-12-09 21:46:00,,122.0,,,,,10
2018-12-09 21:54:00,,122.0,,,,,10
2018-12-09 22:33:00,,122.0,,,,,10
2018-12-09 22:37:00,,122.0,,,,,10
