measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-03-08 00:42:00,,122.0,,,,,,10
2019-03-08 01:28:00,,122.0,,,,,,10
2019-03-08 01:31:00,,122.0,,,,,,10
2019-03-08 01:39:00,,122.0,,,,,,10
2019-03-08 01:43:00,,122.0,,,,,,10
2019-03-08 01:49:00,,122.0,,,,,,10
2019-03-08 02:09:00,,122.0,,,,,,10
2019-03-08 02:14:00,,122.0,,,,,,10
2019-03-08 02:20:00,,122.0,,,,,,10
2019-03-08 02:21:00,,122.0,,,,,,10
2019-03-08 02:24:00,,122.0,,,,,,10
2019-03-08 02:38:00,,122.0,,,,,,10
2019-03-08 06:13:00,,,,,,,0.0,10
2019-03-08 07:15:00,,,213.0,,,,,10
2019-03-08 07:36:00,,,,321.0,,,,10
2019-03-08 08:09:00,,,264.0,,,,,10
2019-03-08 08:27:00,,123.0,,,,,,10
2019-03-08 08:30:00,,,,631.0,,,,10
2019-03-08 08:31:00,526.0,,,,,,,10
2019-03-08 08:37:00,,,,,,,604.0,10
2019-03-08 08:47:00,,123.0,,,,,,10
2019-03-08 09:03:00,,,235.0,,,,,10
2019-03-08 09:20:00,744.0,,,,,,,10
2019-03-08 09:24:00,,,238.0,,,,,10
2019-03-08 09:26:00,,,,,,,689.0,10
2019-03-08 09:29:00,,,,1004.0,,,,10
2019-03-08 09:39:00,,,233.0,,,,,10
2019-03-08 10:06:00,,,,,,,506.0,10
2019-03-08 11:12:00,,,,915.0,,,,10
2019-03-08 11:18:00,,,,,,,605.0,10
2019-03-08 11:19:00,,,,,,,822.0,10
2019-03-08 11:20:00,,,,,,,595.0,10
2019-03-08 11:32:00,,,,998.0,,,,10
2019-03-08 11:49:00,,,,1110.0,,,,10
2019-03-08 12:24:00,,,,,,,1039.0,10
2019-03-08 12:46:00,728.0,,,,,,,10
2019-03-08 12:49:00,,,,1135.0,,,,10
2019-03-08 12:57:00,,,,,,,1173.0,10
2019-03-08 13:08:00,,,,,,,340.0,10
2019-03-08 13:19:00,,123.0,,,,,,10
2019-03-08 13:20:00,,123.0,,,,,,10
2019-03-08 13:24:00,266.0,,,,,,,10
2019-03-08 13:29:00,,,,1094.0,,,,10
2019-03-08 13:38:00,,,,,,,626.0,10
2019-03-08 13:41:00,,,,757.0,,,,10
2019-03-08 13:52:00,,,,465.0,,,,10
2019-03-08 13:57:00,,123.0,,,,,,10
2019-03-08 14:20:00,174.0,,,,,,,10
2019-03-08 14:30:00,,123.0,,,,,,10
2019-03-08 15:22:00,132.0,,,,,,,10
2019-03-08 15:43:00,,,,,13.0,,,10
2019-03-08 15:57:00,,,211.0,,,,,10
2019-03-08 16:37:00,,,,,,,72.0,10
2019-03-08 17:18:00,,122.0,,,,,,10
2019-03-08 18:58:00,,,,,,4.0,,10
2019-03-08 19:59:00,,122.0,,,,,,10
2019-03-08 20:46:00,,122.0,,,,,,10
2019-03-08 20:47:00,,122.0,,,,,,10
2019-03-08 21:42:00,,,0.0,,,,,10
2019-03-08 21:44:00,,,0.0,,,,,10
2019-03-08 21:47:00,,,0.0,,,,,10
