measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-03-11 00:35:00,,,,0.0,,,,,,,10
2019-03-11 02:29:00,,,,0.0,,,,,,,10
2019-03-11 02:38:00,,,,0.0,,,,,,,10
2019-03-11 04:02:00,,122.0,,,,,,,,,10
2019-03-11 05:14:00,,,,0.0,,,,,,,10
2019-03-11 06:07:00,,,,,,,,,,0.0,10
2019-03-11 06:29:00,,122.0,,,,,,,,,10
2019-03-11 06:36:00,,122.0,,,,,,,,,10
2019-03-11 09:18:00,,,,,447.0,,,,,,10
2019-03-11 09:29:00,,,,,240.0,,,,,,10
2019-03-11 09:35:00,140.0,122.0,,,,,,,,,10
2019-03-11 09:37:00,,122.0,,,,,,,,,10
2019-03-11 09:39:00,,122.0,,,,,,,,,10
2019-03-11 09:43:00,,122.0,,,,,,,,,10
2019-03-11 09:54:00,,,,239.0,,,,,,,10
2019-03-11 09:57:00,188.0,,,,,,,,,,10
2019-03-11 10:25:00,,,,,,,,,,1035.0,10
2019-03-11 10:26:00,,,,,1059.0,,,,,,10
2019-03-11 10:34:00,,,,,,,,,,1071.0,10
2019-03-11 10:37:00,,,,,1013.0,,,,,,10
2019-03-11 10:49:00,,,,,,,31.0,,,,10
2019-03-11 10:55:00,,124.0,,,,,,,,,10
2019-03-11 11:00:00,,,,,,,,,,1011.0,10
2019-03-11 11:01:00,,,,,,,,,,1143.0,10
2019-03-11 11:04:00,,,,,,,,35.0,,,10
2019-03-11 11:07:00,,,,,,,,,,1050.0,10
2019-03-11 11:10:00,,,,,,,,,,1016.0,10
2019-03-11 11:14:00,,,,,1113.0,,,,,,10
2019-03-11 11:16:00,,,,,1143.0,,,,,,10
2019-03-11 11:18:00,,,,,,20.0,,,,,10
2019-03-11 11:29:00,,,,,1125.0,,,,,,10
2019-03-11 11:33:00,919.0,,,,,,,,,1051.0,10
2019-03-11 11:36:00,952.0,,,,,,,,,,10
2019-03-11 11:40:00,,,,,1047.0,,,,,,10
2019-03-11 11:43:00,,,,,,,,,42.0,,10
2019-03-11 12:27:00,890.0,,,,1085.0,,,,,1022.0,10
2019-03-11 12:35:00,,,,,1010.0,,,,,,10
2019-03-11 12:46:00,,123.0,,,,,,,,,10
2019-03-11 13:11:00,,,,,1007.0,,,,,,10
2019-03-11 13:12:00,,,,,1000.0,,,,,,10
2019-03-11 13:15:00,,,,238.0,,,,,,,10
2019-03-11 13:21:00,,,17.0,,,,,,,,10
2019-03-11 13:24:00,474.0,,,,,,,,,,10
2019-03-11 13:34:00,,,,,529.0,,,,,,10
2019-03-11 14:15:00,441.0,,,,,,,,,,10
2019-03-11 14:21:00,,,,232.0,,,,,,,10
2019-03-11 14:25:00,,,,,538.0,,,,,,10
2019-03-11 14:27:00,,,,,437.0,,,,,,10
2019-03-11 14:35:00,,,,,764.0,,,,,,10
2019-03-11 14:43:00,,,,,,24.0,,,,,10
2019-03-11 14:51:00,299.0,,,,,,,,,,10
2019-03-11 15:10:00,,123.0,,,,,,,,,10
2019-03-11 15:16:00,,,,234.0,,,,,,,10
2019-03-11 15:17:00,,122.0,,,,,,,,,10
2019-03-11 15:30:00,,,,,361.0,,,,,,10
2019-03-11 15:35:00,,,,,,15.0,,,,,10
2019-03-11 15:40:00,,,,233.0,,,,,,,10
2019-03-11 15:54:00,116.0,,,,,,,,,,10
2019-03-11 16:54:00,,,,226.0,,,,,,,10
2019-03-11 17:20:00,,,,190.0,,,,,,,10
