measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-03-15 00:32:00,,,,0.0,,,,,,,10
2019-03-15 01:58:00,,122.0,,,,,,,,,10
2019-03-15 02:15:00,,122.0,,,,,,,,,10
2019-03-15 03:18:00,,,,,0.0,,,,,,10
2019-03-15 06:30:00,,,,159.0,,,,,,,10
2019-03-15 06:31:00,,,,160.0,,,,,,,10
2019-03-15 06:50:00,,123.0,,,,,,,,,10
2019-03-15 06:51:00,,123.0,,,,,,,,,10
2019-03-15 07:09:00,,,,230.0,,,,,,,10
2019-03-15 08:49:00,,124.0,,,,,,,,,10
2019-03-15 08:52:00,,124.0,,,,,,,,,10
2019-03-15 09:33:00,,,,,,,,35.0,,,10
2019-03-15 09:43:00,,,,,1008.0,,,,,,10
2019-03-15 09:53:00,,,,,,,,,,971.0,10
2019-03-15 09:59:00,,,,,1048.0,,,,,,10
2019-03-15 10:01:00,,,,,,,,,,1004.0,10
2019-03-15 10:03:00,,,,,1064.0,,,,,,10
2019-03-15 10:05:00,,,,,,,,,,1020.0,10
2019-03-15 10:09:00,,,,,1087.0,,,,,,10
2019-03-15 10:11:00,,,,,1087.0,,,,,,10
2019-03-15 10:23:00,,,,,,,,,,1073.0,10
2019-03-15 10:24:00,,,,,,,34.0,,,,10
2019-03-15 10:31:00,,,,,,,,,,1095.0,10
2019-03-15 10:49:00,,,,,,,,,,1138.0,10
2019-03-15 10:51:00,,125.0,,,,,,,,,10
2019-03-15 10:53:00,,,,,1173.0,,,,,,10
2019-03-15 10:55:00,,,,,1172.0,,,,,,10
2019-03-15 11:01:00,,,,,,,,,,1163.0,10
2019-03-15 11:06:00,,,,,,,,,48.0,,10
2019-03-15 11:11:00,,,,,,,,,,1180.0,10
2019-03-15 11:13:00,,,,,1225.0,,,,,,10
2019-03-15 11:18:00,,,,,1223.0,,,,,,10
2019-03-15 11:22:00,,,,,,,,,,1195.0,10
2019-03-15 11:25:00,,,,,1225.0,,,,,,10
2019-03-15 11:27:00,,,,,,,,,,1202.0,10
2019-03-15 11:29:00,,,,,1228.0,,,,,,10
2019-03-15 11:32:00,1011.0,,,,,,,,,,10
2019-03-15 11:33:00,,,,,1232.0,,,,,,10
2019-03-15 11:35:00,,,,,,,,,,1209.0,10
2019-03-15 11:43:00,1010.0,,,,,,,,,,10
2019-03-15 11:49:00,1013.0,,,,,,,,,,10
2019-03-15 11:53:00,1010.0,,,,1222.0,,,,,,10
2019-03-15 11:54:00,,,,,1218.0,,,,,,10
2019-03-15 12:00:00,1004.0,,,,,,,,,,10
2019-03-15 12:02:00,1008.0,,,,,,,,,,10
2019-03-15 12:03:00,,,,,1227.0,,,,,1217.0,10
2019-03-15 12:15:00,,,,,1237.0,,,,,,10
2019-03-15 12:18:00,,,,,1235.0,,,,,,10
2019-03-15 12:20:00,1014.0,,,,,,,,,,10
2019-03-15 12:22:00,,,,,1240.0,,,,,,10
2019-03-15 12:24:00,1024.0,,,,,,,,,,10
2019-03-15 12:25:00,1026.0,,,,,,,,,,10
2019-03-15 12:27:00,1029.0,,,,,,,,,,10
2019-03-15 12:29:00,,,,,1248.0,,,,,,10
2019-03-15 12:34:00,,,,,1249.0,,,,,,10
2019-03-15 12:36:00,1022.0,,,,1245.0,,,,,,10
2019-03-15 12:42:00,,,,,,,,,,1205.0,10
2019-03-15 12:44:00,,,,,1236.0,,,,,,10
2019-03-15 12:45:00,1015.0,,,,,,,,,,10
2019-03-15 12:48:00,,125.0,,,1229.0,,,,,,10
2019-03-15 12:50:00,1008.0,,,,,,,,,,10
2019-03-15 12:53:00,1008.0,,,,,,,,,,10
2019-03-15 12:55:00,,,,,1223.0,,,,,,10
2019-03-15 13:00:00,,,,,,28.0,,,,1183.0,10
2019-03-15 13:02:00,1006.0,,,,,,,,,,10
2019-03-15 13:04:00,,,,231.0,1218.0,,,,,,10
2019-03-15 13:11:00,,,,,1204.0,,,,,,10
2019-03-15 13:15:00,984.0,,,,,,,,,,10
2019-03-15 13:25:00,,,,,,,,,,1139.0,10
2019-03-15 13:27:00,,,,,1176.0,,,,,,10
2019-03-15 13:29:00,,,,,1174.0,,,,,,10
2019-03-15 13:32:00,,,,,1176.0,,,,,,10
2019-03-15 13:34:00,,,,,1166.0,,,,48.0,,10
2019-03-15 13:36:00,,,,,,,,,,1115.0,10
2019-03-15 13:41:00,,,,,,,,,,1104.0,10
2019-03-15 13:42:00,948.0,,,,1148.0,,,,,,10
2019-03-15 13:43:00,,,,,1150.0,,,,,,10
2019-03-15 13:46:00,,,,,1138.0,,,,,,10
2019-03-15 13:50:00,,,,,1125.0,,,,,,10
2019-03-15 13:51:00,,,,,1129.0,,,,,,10
2019-03-15 14:12:00,882.0,,,,,,,,,1017.0,10
2019-03-15 14:16:00,873.0,,,,,,,,,,10
2019-03-15 14:22:00,,,,,,,,,,988.0,10
2019-03-15 14:26:00,,,,,1028.0,,,,,,10
2019-03-15 14:28:00,840.0,,,,,,,,,,10
2019-03-15 14:31:00,,125.0,,,,,,,,,10
2019-03-15 14:34:00,,,,231.0,,,,,,,10
2019-03-15 14:36:00,,125.0,,,,,,,,,10
2019-03-15 14:59:00,,,,233.0,,,,,,,10
2019-03-15 15:48:00,,,,,,,,,,639.0,10
2019-03-15 15:59:00,,123.0,,,,,,,,,10
2019-03-15 16:00:00,,,,229.0,,,,,,,10
2019-03-15 16:12:00,,,16.0,,,,,,,,10
2019-03-15 16:30:00,,,,232.0,,,,,,,10
2019-03-15 16:42:00,,,,235.0,,,,,,,10
2019-03-15 16:54:00,,,,,,,,,,317.0,10
2019-03-15 17:17:00,116.0,,,,,,,,,,10
2019-03-15 17:31:00,,,,,,,,,,133.0,10
2019-03-15 21:01:00,,,,0.0,,,,,,,10
2019-03-15 22:01:00,,123.0,,,,,,,,,10
2019-03-15 22:39:00,,122.0,,,,,,,,,10
2019-03-15 22:43:00,,122.0,,,,,,,,,10
