measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_3__431,poa_irradiance__421,system_id
2018-12-14 02:27:00,,,0.0,,,,,10
2018-12-14 04:52:00,,121.0,0.0,,,,,10
2018-12-14 05:33:00,,,0.0,,,,,10
2018-12-14 05:37:00,,121.0,,,,,,10
2018-12-14 08:26:00,,,,518.0,,,,10
2018-12-14 08:30:00,,,,,,,480.0,10
2018-12-14 09:45:00,,,230.0,,,,,10
2018-12-14 10:14:00,784.0,,,,,,,10
2018-12-14 10:15:00,,,,,12.0,,,10
2018-12-14 10:18:00,,,,,,34.0,,10
2018-12-14 10:25:00,,124.0,,,,,,10
2018-12-14 10:32:00,812.0,,,,,,,10
2018-12-14 10:35:00,,,,,,,909.0,10
2018-12-14 10:47:00,831.0,,,,,,,10
2018-12-14 10:58:00,,,,1015.0,,,,10
2018-12-14 11:19:00,,,,1053.0,,,,10
2018-12-14 11:24:00,,,,1054.0,,,,10
2018-12-14 11:37:00,,,,1067.0,,,,10
2018-12-14 12:01:00,,,,1065.0,,,,10
2018-12-14 12:05:00,,,,1057.0,,,,10
2018-12-14 12:12:00,,,,1055.0,,,,10
2018-12-14 12:14:00,,,,1050.0,,,,10
2018-12-14 12:24:00,,,,1050.0,,,,10
2018-12-14 12:34:00,,,,1054.0,,,,10
2018-12-14 12:50:00,,,,1028.0,,,,10
2018-12-14 12:51:00,,,,1022.0,,,,10
2018-12-14 12:56:00,,,,1016.0,,,,10
2018-12-14 12:59:00,,,,,,41.0,953.0,10
2018-12-14 13:32:00,,,,932.0,,,,10
2018-12-14 13:34:00,,,,921.0,,,,10
2018-12-14 14:42:00,,,,714.0,,,,10
2018-12-14 14:49:00,,,,,,,648.0,10
2018-12-14 15:04:00,,,,,,,592.0,10
2018-12-14 15:19:00,,,227.0,,,,,10
2018-12-14 15:27:00,,,233.0,,,,,10
2018-12-14 15:33:00,,122.0,,,,,,10
2018-12-14 15:47:00,,,,,,,195.0,10
2018-12-14 15:49:00,,,218.0,,,,,10
2018-12-14 15:52:00,,,,,,,131.0,10
2018-12-14 16:36:00,,121.0,,,,,,10
2018-12-14 17:14:00,,122.0,,,,,,10
2018-12-14 20:25:00,,122.0,,,,,,10
2018-12-14 21:33:00,,,,,3.0,,,10
2018-12-14 21:40:00,,122.0,,,,,,10
2018-12-14 21:51:00,,122.0,,,,,,10
2018-12-14 22:37:00,,122.0,,,,,,10
