measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2022-11-26 00:00:00,-2.0658,-73.76399999999998,-6.3248,5.8202,10.538,20.492,-0.63541,-17.697,11.233,,-11.068,10
2022-11-26 00:01:00,-2.0668,-73.753,-6.3887,5.9928,10.955,20.282,-0.64559,-17.416,11.25,,-10.111,10
2022-11-26 00:02:00,-2.0458,-72.769,-6.04,6.3053,10.388,20.469,-0.62961,-16.856,10.599,,-10.281,10
2022-11-26 00:03:00,-2.0918,-74.846,-6.2105,6.4966,10.824,20.437,-0.64585,-17.102,11.042,,-10.048,10
2022-11-26 00:04:00,-2.085,-75.128,-6.4354,6.4071,10.812,20.517,-0.6653,-17.05,11.339,,-9.8672,10
2022-11-26 00:05:00,-2.0724,-74.197,-6.1331,6.2309,10.731,20.479,-0.64656,-16.752,10.82,,-10.272,10
2022-11-26 00:06:00,-2.0726,-74.186,-6.271,6.2632,10.908,20.333,-0.64459,-17.214,11.095,,-9.756,10
2022-11-26 00:07:00,-1.9546,-74.369,-6.2734,6.3187,10.525,19.863,-0.65458,-16.907,11.061,,-9.7302,10
2022-11-26 00:08:00,-1.9747,-74.949,-6.2923,6.3024,10.466,20.068,-0.655,-17.185,11.254,,-9.5492,10
2022-11-26 00:09:00,-2.1393,-77.003,-6.1487,6.1269,11.148,20.666,-0.66293,-16.777,11.116,,-10.452,10
2022-11-26 00:10:00,-2.0997,-74.959,-6.4311,6.1119,10.848,20.86,-0.65044,-17.779,11.559,,-10.902,10
2022-11-26 00:11:00,-2.0894,-74.66599999999998,-6.3925,6.4185,10.922,20.591,-0.65114,-17.459,11.353,,-11.004,10
2022-11-26 00:12:00,-0.0459699999999999,-75.76699999999998,-6.0948,6.5759,10.283,18.345,-0.6611,-16.464,10.876,,-8.9798,10
2022-11-26 00:13:00,-0.68586,-75.443,-6.2925,6.61,10.562,19.082,-0.6619899999999999,-16.974,11.219,,-9.9312,10
2022-11-26 00:14:00,-1.4799,-73.254,-6.1654,6.8736,10.591,19.549,-0.64243,-16.781,10.765,,-10.526,10
2022-11-26 00:15:00,-1.5507,-73.87399999999998,-6.1817,6.8197,10.65,19.648,-0.64478,-16.829,10.85,,-10.709,10
2022-11-26 00:16:00,-2.0915,-75.15,-6.2,6.7309,10.69,20.355,-0.65102,-17.071,11.104,,-11.27,10
2022-11-26 00:17:00,-2.0892,-75.037,-6.3105,6.7519,10.43,20.288,-0.65883,-17.092,11.246,,-11.292,10
2022-11-26 00:18:00,-0.2933399999999999,-72.355,-6.1245,6.8665,10.255,18.805,-0.63438,-16.776,10.826,,-10.113,10
