measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_3__431,poa_irradiance__421,system_id
2019-01-27 00:27:00,,,,0.0,,,,10
2019-01-27 01:03:00,,122.0,,,,,,10
2019-01-27 01:24:00,,122.0,,,,,,10
2019-01-27 07:39:00,,,,201.0,,,,10
2019-01-27 07:49:00,237.0,,,,,,,10
2019-01-27 08:06:00,,,,298.0,,,,10
2019-01-27 09:08:00,,,,,,,472.0,10
2019-01-27 10:33:00,,,,,,,204.0,10
2019-01-27 10:38:00,,,241.0,,,,,10
2019-01-27 10:41:00,194.0,,,,,,,10
2019-01-27 10:52:00,209.0,,,,,,,10
2019-01-27 10:56:00,242.0,123.0,,,,,,10
2019-01-27 11:03:00,,123.0,,,,,,10
2019-01-27 11:42:00,,,,,,,588.0,10
2019-01-27 11:49:00,,,,,,,513.0,10
2019-01-27 11:52:00,,,235.0,,,,,10
2019-01-27 11:56:00,,,,436.0,,,,10
2019-01-27 12:27:00,,122.0,,,,,,10
2019-01-27 12:31:00,,122.0,,,,,,10
2019-01-27 12:40:00,,,,,11.0,,,10
2019-01-27 13:35:00,,,,,,10.0,,10
2019-01-27 14:13:00,,,,,10.0,,,10
2019-01-27 14:44:00,,,,,,,64.0,10
2019-01-27 15:06:00,,,,,,,104.0,10
2019-01-27 15:39:00,,,,116.0,,,,10
2019-01-27 17:59:00,,122.0,,,,,,10
2019-01-27 18:02:00,,122.0,,,,,,10
2019-01-27 18:03:00,,122.0,,,,,,10
2019-01-27 19:05:00,,,,0.0,,,,10
2019-01-27 20:07:00,,,0.0,,,,,10
2019-01-27 20:08:00,,121.0,,,,,,10
2019-01-27 20:09:00,,121.0,,,,,,10
2019-01-27 20:11:00,,121.0,,,,,,10
2019-01-27 20:21:00,,,,,,,0.0,10
2019-01-27 21:46:00,,,0.0,,,,,10
2019-01-27 22:43:00,,,0.0,,,,,10
