measured_on,ac_voltage__426,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-03-13 01:19:00,,0.0,,,10
2019-03-13 04:26:00,,0.0,,,10
2019-03-13 04:31:00,,,,0.0,10
2019-03-13 04:56:00,,,,0.0,10
2019-03-13 05:13:00,,,,0.0,10
2019-03-13 05:23:00,,,,0.0,10
2019-03-13 05:27:00,,,,0.0,10
2019-03-13 05:28:00,,,,0.0,10
2019-03-13 05:30:00,,,,0.0,10
2019-03-13 05:31:00,,,,0.0,10
2019-03-13 05:35:00,,,,0.0,10
2019-03-13 05:37:00,,,,0.0,10
2019-03-13 05:40:00,,,,0.0,10
2019-03-13 05:41:00,,,,0.0,10
2019-03-13 05:42:00,,,,0.0,10
2019-03-13 05:43:00,,,,0.0,10
2019-03-13 05:45:00,,,,0.0,10
2019-03-13 05:46:00,,,,0.0,10
2019-03-13 06:27:00,,,,0.0,10
2019-03-13 07:12:00,122.0,,,,10
2019-03-13 07:23:00,123.0,,,,10
2019-03-13 08:02:00,,160.0,,,10
2019-03-13 10:06:00,122.0,,,,10
2019-03-13 12:07:00,,145.0,,,10
2019-03-13 12:17:00,123.0,,,,10
2019-03-13 12:46:00,122.0,,,,10
2019-03-13 13:05:00,,158.0,,,10
2019-03-13 13:49:00,122.0,,,,10
2019-03-13 13:55:00,122.0,,,,10
2019-03-13 14:03:00,122.0,,,,10
2019-03-13 14:11:00,,175.0,,,10
2019-03-13 14:50:00,122.0,,,,10
2019-03-13 14:51:00,122.0,,,,10
2019-03-13 15:06:00,,156.0,,,10
2019-03-13 15:40:00,,161.0,,,10
2019-03-13 15:58:00,,160.0,,,10
2019-03-13 16:16:00,,134.0,,,10
2019-03-13 16:30:00,,106.0,,,10
2019-03-13 18:03:00,,,,0.0,10
2019-03-13 18:04:00,,,,0.0,10
2019-03-13 18:05:00,,,,0.0,10
2019-03-13 19:58:00,122.0,,,,10
2019-03-13 20:04:00,,0.0,,,10
2019-03-13 22:39:00,,,0.0,,10
2019-03-13 23:45:00,,0.0,,,10
