measured_on,ac_power__423,ac_voltage__426,das_battery_voltage__434,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2018-12-31 00:49:00,,122.0,,,,,,10
2018-12-31 04:59:00,,,,,,,0.0,10
2018-12-31 08:11:00,,121.0,,,,,,10
2018-12-31 08:16:00,,,,,185.0,,,10
2018-12-31 08:52:00,,121.0,,,,,,10
2018-12-31 09:00:00,,121.0,,,,,,10
2018-12-31 09:25:00,,,,,207.0,,,10
2018-12-31 09:35:00,,,,,208.0,39.0,,10
2018-12-31 09:53:00,,121.0,,,,,,10
2018-12-31 09:58:00,,121.0,,,,,,10
2018-12-31 10:05:00,,,,,,,147.0,10
2018-12-31 10:30:00,,,,,215.0,,,10
2018-12-31 11:42:00,,,,,,,167.0,10
2018-12-31 12:04:00,0.0,,,,,,,10
2018-12-31 12:21:00,,121.0,,,,,,10
2018-12-31 12:27:00,,,,,,,111.0,10
2018-12-31 12:57:00,,,,,162.0,,,10
2018-12-31 13:03:00,,,,,,,170.0,10
2018-12-31 13:16:00,,,,,,,136.0,10
2018-12-31 13:20:00,,,,,163.0,,,10
2018-12-31 14:17:00,0.0,,,,,,,10
2018-12-31 14:29:00,,,,0.0,,,,10
2018-12-31 14:47:00,,122.0,,,,,,10
2018-12-31 14:50:00,,122.0,,,,,,10
2018-12-31 15:03:00,,,,,,,119.0,10
2018-12-31 17:34:00,,,,,0.0,,,10
2018-12-31 18:06:00,,,,,,,0.0,10
2018-12-31 18:08:00,,,,,,,0.0,10
2018-12-31 20:26:00,,,14.0,,,,,10
2018-12-31 20:27:00,,,14.0,,,,,10
2018-12-31 20:29:00,,,14.0,,,,,10
2018-12-31 20:45:00,,,,,0.0,,,10
2018-12-31 20:57:00,,,,,0.0,,,10
2018-12-31 21:48:00,,122.0,,,,,,10
2018-12-31 22:06:00,,122.0,,,,,,10
2018-12-31 22:07:00,,122.0,,,,,,10
2018-12-31 22:09:00,,122.0,,,,,,10
2018-12-31 23:43:00,,,,,,,0.0,10
2018-12-31 23:47:00,,,,,,,0.0,10
2018-12-31 23:48:00,,,,,,,0.0,10
2018-12-31 23:49:00,,,,,,,0.0,10
