,ac_power_inv_17103_daily_max,ac_power_inv_17103_daily_mean,ac_energy_inv_17103_daily_sum
2024-01-01,0.4799999999999999,0.20411214953271026,1.82
2024-01-02,0.828,0.2402162162162162,2.222
2024-01-03,0.804,0.25437837837837834,2.353
2024-01-04,0.372,0.1984705882352941,1.687
2024-01-05,0.876,0.25578378378378375,2.366
2024-01-06,0.372,0.19101818181818178,1.751
2024-01-07,0.1799999999999999,0.08008988764044941,0.5939999999999999
2024-01-08,0.12,0.046709677419354806,0.3619999999999999
2024-01-09,0.108,0.05149999999999997,0.4119999999999999
2024-01-10,0.636,0.2425555555555555,2.183
2024-01-11,0.4799999999999999,0.20596363636363635,1.888
2024-01-12,0.912,0.2821621621621621,2.61
2024-01-13,0.7079999999999999,0.2554455445544554,2.15
2024-01-14,0.528,0.20237837837837835,1.872
2024-01-15,0.96,0.2888727272727272,2.648
2024-01-16,0.096,0.03299999999999998,0.165
2024-01-17,0.984,0.30509734513274334,2.873
2024-01-18,0.888,0.3565405405405405,3.298
2024-01-19,0.456,0.14691588785046727,1.31
2024-01-20,1.008,0.3179459459459459,2.941
2024-01-21,1.032,0.348,3.364
2024-01-22,1.02,0.3646315789473684,3.464
2024-01-23,0.444,0.23702654867256634,2.232
2024-01-24,0.2399999999999999,0.07638461538461536,0.662
2024-01-25,0.516,0.18011214953271026,1.606
2024-01-26,0.264,0.12077777777777775,1.087
2024-01-27,0.264,0.13199999999999995,1.21
2024-01-28,0.192,0.04203592814371256,0.5849999999999999
2024-01-29,0.336,0.15066666666666664,1.469
2024-01-30,0.576,0.2745263157894737,2.608
2024-01-31,0.372,0.18199999999999997,1.729
2024-02-01,0.804,0.19873684210526316,1.888
2024-02-02,0.504,0.2013333333333333,1.963
2024-02-03,0.996,0.2591351351351351,2.397
2024-02-04,1.116,0.45924590163934426,4.669
2024-02-05,1.14,0.4724262295081967,4.803
2024-02-06,0.336,0.17579487179487177,1.714
2024-02-07,0.876,0.3366050420168067,3.338
2024-02-08,1.092,0.47869999999999996,4.787
2024-02-09,1.056,0.2799024390243902,2.869
2024-02-10,0.54,0.22331707317073168,2.289
2024-02-11,0.576,0.2901290322580645,2.998
2024-02-12,1.092,0.4517999999999999,4.518
2024-02-13,0.012,0.0001509433962264151,0.002
2024-02-14,0.024,0.00875,0.105
2024-02-15,0.0359999999999999,0.0204155844155844,0.131
2024-02-16,0.084,0.05062499999999997,0.405
2024-02-17,0.0719999999999999,0.02468965517241377,0.1789999999999999
2024-02-18,0.108,0.04482352941176468,0.381
2024-02-19,0.6119999999999999,0.2617894736842105,2.487
2024-02-20,1.248,0.5800952380952381,6.091
2024-02-21,1.248,0.4153442622950819,6.334
2024-02-22,1.26,0.39107027027027025,6.029
2024-02-23,0.552,0.14879999999999996,2.294
2024-02-24,0.564,0.11393478260869562,1.747
