measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,poa_irradiance__421,system_id
2018-12-22 01:16:00,,122.0,,,,,10
2018-12-22 02:14:00,,,0.0,,,,10
2018-12-22 05:50:00,,,0.0,,,,10
2018-12-22 06:10:00,,,0.0,,,,10
2018-12-22 06:12:00,,,0.0,,,,10
2018-12-22 06:48:00,,122.0,,,,,10
2018-12-22 07:03:00,,122.0,,,,,10
2018-12-22 07:10:00,,122.0,,,,,10
2018-12-22 07:28:00,,122.0,,,,,10
2018-12-22 07:48:00,,,,217.0,,,10
2018-12-22 07:49:00,192.0,,,,,,10
2018-12-22 08:05:00,,122.0,,,,,10
2018-12-22 08:44:00,,,206.0,,,,10
2018-12-22 08:46:00,,122.0,,,,,10
2018-12-22 09:08:00,,,197.0,,,,10
2018-12-22 09:51:00,,122.0,,,,,10
2018-12-22 10:06:00,,,203.0,,,,10
2018-12-22 10:07:00,,,,105.0,,,10
2018-12-22 11:03:00,,,,,,465.0,10
2018-12-22 11:29:00,162.0,,,,,,10
2018-12-22 11:38:00,,,,1100.0,,,10
2018-12-22 11:56:00,,,,,,238.0,10
2018-12-22 12:03:00,,,,,,226.0,10
2018-12-22 12:10:00,609.0,,,,,,10
2018-12-22 12:35:00,,,,1178.0,,,10
2018-12-22 12:36:00,1032.0,,,,,,10
2018-12-22 12:54:00,178.0,,,,,,10
2018-12-22 13:28:00,,,,,5.0,,10
2018-12-22 13:52:00,,,,158.0,,,10
2018-12-22 14:21:00,,,,,,162.0,10
2018-12-22 14:45:00,192.0,,,,,,10
2018-12-22 16:16:00,,,220.0,,,,10
2018-12-22 16:21:00,,,226.0,,,,10
2018-12-22 16:49:00,,,,,,0.0,10
2018-12-22 18:02:00,,121.0,,,,,10
2018-12-22 18:41:00,,,0.0,,,,10
2018-12-22 21:43:00,,121.0,,,,,10
2018-12-22 21:49:00,,121.0,,,,,10
2018-12-22 23:01:00,,121.0,,,,,10
2018-12-22 23:07:00,,121.0,,,,,10
2018-12-22 23:13:00,,,0.0,,,,10
2018-12-22 23:48:00,,121.0,,,,,10
