measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2019-02-25 00:04:00,,,0.0,,,,10
2019-02-25 02:22:00,,,0.0,,,,10
2019-02-25 05:04:00,,122.0,,,,,10
2019-02-25 05:22:00,,122.0,,,,,10
2019-02-25 05:23:00,,122.0,,,,,10
2019-02-25 06:52:00,,122.0,,,,,10
2019-02-25 07:28:00,,,253.0,,,,10
2019-02-25 07:29:00,227.0,,,,,,10
2019-02-25 07:31:00,,123.0,,,,,10
2019-02-25 07:45:00,,,,205.0,,,10
2019-02-25 07:47:00,133.0,,236.0,,,,10
2019-02-25 07:53:00,,,,,,221.0,10
2019-02-25 07:57:00,,,,237.0,,,10
2019-02-25 08:20:00,,,235.0,,,,10
2019-02-25 08:33:00,,,,,,309.0,10
2019-02-25 09:08:00,,,,860.0,,,10
2019-02-25 09:17:00,,,238.0,,,,10
2019-02-25 09:22:00,,,237.0,,,,10
2019-02-25 09:24:00,,,,923.0,,,10
2019-02-25 09:36:00,,,,,,889.0,10
2019-02-25 09:44:00,,,237.0,,,,10
2019-02-25 09:45:00,787.0,,,,,,10
2019-02-25 09:55:00,,,,1047.0,,,10
2019-02-25 09:57:00,852.0,,,,,,10
2019-02-25 10:07:00,,,,724.0,,,10
2019-02-25 10:18:00,,,199.0,,,,10
2019-02-25 10:30:00,,124.0,,,,,10
2019-02-25 10:42:00,,,,1156.0,,,10
2019-02-25 10:43:00,,,,1144.0,,,10
2019-02-25 10:49:00,830.0,,,,,,10
2019-02-25 10:58:00,,,,,,1067.0,10
2019-02-25 11:10:00,,,,,,1130.0,10
2019-02-25 11:11:00,,,,1176.0,,,10
2019-02-25 11:25:00,,,,1192.0,,1153.0,10
2019-02-25 11:27:00,,,229.0,,,,10
2019-02-25 11:29:00,,,,1192.0,,,10
2019-02-25 11:35:00,,,,,,1164.0,10
2019-02-25 11:37:00,,125.0,,,,,10
2019-02-25 11:39:00,,125.0,,,,,10
2019-02-25 11:46:00,1002.0,,,,,,10
2019-02-25 11:51:00,,,,1205.0,,1157.0,10
2019-02-25 11:54:00,,,,,,1051.0,10
2019-02-25 11:56:00,,,,,,1102.0,10
2019-02-25 12:05:00,,,,,,1108.0,10
2019-02-25 12:06:00,,,,1139.0,,,10
2019-02-25 12:07:00,,,,,,1111.0,10
2019-02-25 12:10:00,,,,1089.0,,1040.0,10
2019-02-25 12:18:00,,,233.0,,,,10
2019-02-25 12:21:00,821.0,,,,,,10
2019-02-25 12:32:00,,,,1014.0,,,10
2019-02-25 12:41:00,,,,,34.0,,10
2019-02-25 12:46:00,,,,1220.0,,,10
2019-02-25 12:48:00,1013.0,,,,,,10
2019-02-25 12:52:00,,,223.0,,,,10
2019-02-25 12:54:00,,,,1176.0,,,10
2019-02-25 12:56:00,,,,1196.0,,,10
2019-02-25 12:57:00,,,,1199.0,,,10
2019-02-25 12:58:00,,,,1185.0,,,10
2019-02-25 13:00:00,,,,1204.0,,,10
2019-02-25 13:02:00,,125.0,,,,,10
2019-02-25 13:03:00,962.0,,,,,,10
2019-02-25 13:14:00,,,,,,1064.0,10
2019-02-25 13:20:00,,,,,,1031.0,10
2019-02-25 13:38:00,1146.0,,,,,,10
2019-02-25 13:42:00,,,,,,1290.0,10
2019-02-25 13:50:00,,,,,,1050.0,10
2019-02-25 13:51:00,,,,,,1108.0,10
2019-02-25 13:54:00,,,,1198.0,,,10
2019-02-25 13:56:00,,,,1144.0,,,10
2019-02-25 14:01:00,,,,,,1051.0,10
2019-02-25 14:11:00,,,,1045.0,,,10
2019-02-25 14:12:00,,,,1041.0,,,10
2019-02-25 14:13:00,,,,1047.0,,,10
2019-02-25 14:23:00,,,,1023.0,,,10
2019-02-25 14:24:00,,,,1018.0,,,10
2019-02-25 14:27:00,,,,1008.0,,,10
2019-02-25 14:29:00,,,,1005.0,,,10
2019-02-25 15:32:00,,,236.0,,,,10
2019-02-25 16:30:00,,,205.0,,,,10
2019-02-25 16:45:00,,123.0,,,,,10
2019-02-25 18:37:00,,122.0,,,,,10
2019-02-25 18:54:00,,122.0,0.0,,,,10
2019-02-25 20:16:00,,,0.0,,,,10
2019-02-25 21:27:00,,,,,,0.0,10
2019-02-25 21:33:00,,,,,,0.0,10
2019-02-25 21:37:00,,,,,,0.0,10
2019-02-25 21:45:00,,,0.0,,,0.0,10
2019-02-25 22:00:00,,,,,,0.0,10
2019-02-25 22:01:00,,,,,,0.0,10
2019-02-25 22:02:00,,,,,,0.0,10
2019-02-25 22:03:00,,,,,,0.0,10
2019-02-25 22:07:00,,,,,,0.0,10
2019-02-25 22:10:00,,,,,,0.0,10
2019-02-25 22:17:00,,,,,,0.0,10
2019-02-25 22:37:00,,,,,,0.0,10
2019-02-25 22:59:00,,,,,,0.0,10
2019-02-25 23:04:00,,,,,,0.0,10
2019-02-25 23:13:00,,,,,,0.0,10
2019-02-25 23:15:00,,,,,,0.0,10
2019-02-25 23:56:00,,,,,,0.0,10
