measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,poa_irradiance__421,system_id
2019-01-21 00:40:00,,123.0,,,,,10
2019-01-21 00:55:00,,123.0,,,,,10
2019-01-21 00:56:00,,123.0,,,,,10
2019-01-21 01:17:00,,123.0,,,,,10
2019-01-21 01:21:00,,123.0,,,,,10
2019-01-21 05:12:00,,122.0,,,,,10
2019-01-21 05:19:00,,122.0,,,,,10
2019-01-21 07:45:00,,122.0,,,,,10
2019-01-21 07:59:00,,,230.0,,,,10
2019-01-21 08:14:00,,,,422.0,,,10
2019-01-21 09:08:00,,,236.0,,,,10
2019-01-21 09:10:00,,,229.0,,,,10
2019-01-21 09:34:00,705.0,,,,,,10
2019-01-21 09:52:00,,,240.0,,,,10
2019-01-21 09:55:00,,124.0,,,,,10
2019-01-21 10:18:00,,124.0,,,,,10
2019-01-21 10:21:00,,,,1002.0,,,10
2019-01-21 10:34:00,,,,1035.0,,,10
2019-01-21 10:41:00,,,,1041.0,,,10
2019-01-21 10:44:00,,,234.0,1051.0,,,10
2019-01-21 10:53:00,,,,,,980.0,10
2019-01-21 10:54:00,,,,1068.0,,,10
2019-01-21 11:11:00,,,,,,1011.0,10
2019-01-21 11:17:00,,,,1112.0,,,10
2019-01-21 11:18:00,,,,1115.0,,,10
2019-01-21 11:20:00,,,,1129.0,,,10
2019-01-21 11:27:00,,,,,,1031.0,10
2019-01-21 11:35:00,,,,1141.0,,,10
2019-01-21 11:41:00,,,,,,1048.0,10
2019-01-21 11:55:00,,,,,,1058.0,10
2019-01-21 12:06:00,,,,1165.0,,,10
2019-01-21 12:14:00,,,,,,1063.0,10
2019-01-21 12:15:00,,,,1156.0,,,10
2019-01-21 12:18:00,,,,1146.0,,,10
2019-01-21 12:29:00,,,,1158.0,,,10
2019-01-21 12:39:00,943.0,,,,,,10
2019-01-21 12:43:00,,,,,,1064.0,10
2019-01-21 12:44:00,,,,1157.0,,,10
2019-01-21 12:45:00,,,,1163.0,,,10
2019-01-21 12:46:00,,,,,,1076.0,10
2019-01-21 13:04:00,,,,,,1028.0,10
2019-01-21 13:07:00,,,,1117.0,,,10
2019-01-21 13:21:00,,,,1066.0,,,10
2019-01-21 13:30:00,,,,1084.0,,,10
2019-01-21 13:31:00,,,,1083.0,,,10
2019-01-21 13:35:00,,,,1064.0,,,10
2019-01-21 13:39:00,,,,1062.0,,,10
2019-01-21 13:50:00,,,,1015.0,,,10
2019-01-21 14:52:00,,,212.0,,,,10
2019-01-21 15:18:00,,122.0,,,,,10
2019-01-21 15:27:00,,,,,13.0,,10
2019-01-21 15:28:00,,,,146.0,,,10
2019-01-21 15:42:00,,,232.0,,,,10
2019-01-21 15:45:00,,,,31.0,,,10
2019-01-21 15:47:00,,,,,,55.0,10
2019-01-21 16:20:00,,122.0,,,,,10
2019-01-21 17:08:00,,,,,,0.0,10
2019-01-21 18:32:00,,122.0,,,,,10
2019-01-21 18:42:00,,122.0,,,,,10
2019-01-21 18:45:00,,122.0,,,,,10
2019-01-21 18:51:00,,122.0,,,,,10
2019-01-21 18:55:00,,122.0,,,,,10
2019-01-21 20:00:00,,,0.0,,,,10
2019-01-21 20:37:00,,122.0,,,,,10
