measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_2__430,poa_irradiance__421,system_id
2019-01-17 00:28:00,,,0.0,,,,,10
2019-01-17 02:37:00,,,0.0,,,,,10
2019-01-17 04:18:00,,,,0.0,,,,10
2019-01-17 04:41:00,,122.0,,,,,,10
2019-01-17 06:55:00,,122.0,,,,,,10
2019-01-17 07:44:00,119.0,,,,,,,10
2019-01-17 08:43:00,,,,,,19.0,,10
2019-01-17 08:57:00,,,,653.0,,,,10
2019-01-17 09:32:00,639.0,,,,,,,10
2019-01-17 09:58:00,,,,,,,774.0,10
2019-01-17 10:04:00,,,241.0,,,,,10
2019-01-17 10:28:00,700.0,,,,,,,10
2019-01-17 10:31:00,,,,1014.0,,,,10
2019-01-17 10:32:00,,124.0,,,,,,10
2019-01-17 10:34:00,,,,1030.0,,,,10
2019-01-17 10:42:00,,,223.0,,,,,10
2019-01-17 10:50:00,,124.0,,,,,,10
2019-01-17 11:01:00,,,,1080.0,,,,10
2019-01-17 11:05:00,,,,,,,1019.0,10
2019-01-17 11:08:00,866.0,,,,,,,10
2019-01-17 11:16:00,,,,,,,1006.0,10
2019-01-17 11:17:00,882.0,,,1073.0,,,,10
2019-01-17 11:20:00,,,,1052.0,,,,10
2019-01-17 11:23:00,,,,,,,1045.0,10
2019-01-17 11:25:00,,124.0,,,,,,10
2019-01-17 11:31:00,,124.0,,,,,,10
2019-01-17 11:36:00,,,,1054.0,,,,10
2019-01-17 11:42:00,963.0,,,,,,,10
2019-01-17 11:43:00,,,,1166.0,,,,10
2019-01-17 11:49:00,,,,,,,1125.0,10
2019-01-17 11:50:00,,,,1160.0,,,,10
2019-01-17 11:57:00,,,,1005.0,,,,10
2019-01-17 11:58:00,,,,1044.0,,,,10
2019-01-17 12:04:00,,,,,,,1035.0,10
2019-01-17 12:07:00,,,,1015.0,,,,10
2019-01-17 12:13:00,,,,1097.0,,,,10
2019-01-17 12:19:00,,,,,,,1082.0,10
2019-01-17 12:29:00,,,,,,,1032.0,10
2019-01-17 12:50:00,,,,1071.0,,,,10
2019-01-17 12:53:00,,,,1007.0,,,,10
2019-01-17 12:58:00,,,,889.0,,,,10
2019-01-17 12:59:00,,,,1015.0,,,,10
2019-01-17 13:04:00,,,,1028.0,,,,10
2019-01-17 13:05:00,,,,,,,1011.0,10
2019-01-17 14:01:00,,124.0,,,,,,10
2019-01-17 14:08:00,,124.0,,,,,,10
2019-01-17 14:12:00,,,233.0,,,,,10
2019-01-17 14:22:00,,124.0,,,,,,10
2019-01-17 14:33:00,,,,,22.0,,,10
2019-01-17 14:43:00,,,,204.0,,,,10
2019-01-17 14:55:00,,,,,,,707.0,10
2019-01-17 15:00:00,705.0,,234.0,,,,,10
2019-01-17 15:32:00,,123.0,,,,,,10
2019-01-17 15:37:00,,123.0,,,,,,10
2019-01-17 16:04:00,,,,122.0,,,,10
2019-01-17 16:26:00,,122.0,,,,,,10
2019-01-17 16:33:00,,122.0,,,,,,10
2019-01-17 18:02:00,,122.0,,,,,,10
2019-01-17 20:19:00,,122.0,,,,,,10
2019-01-17 23:43:00,,,0.0,,,,,10
