measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_2__430,poa_irradiance__421,system_id
2018-12-19 00:30:00,,,,,,,,0.0,10
2018-12-19 00:31:00,,,,,,,,0.0,10
2018-12-19 00:32:00,,,,,,,,0.0,10
2018-12-19 00:33:00,,,,,,,,0.0,10
2018-12-19 00:34:00,,,,,,,,0.0,10
2018-12-19 00:35:00,,,,,,,,0.0,10
2018-12-19 00:36:00,,,,,,,,0.0,10
2018-12-19 00:37:00,,,,,,,,0.0,10
2018-12-19 01:24:00,,122.0,,,,,,,10
2018-12-19 05:23:00,,122.0,,,,,,,10
2018-12-19 05:26:00,,122.0,,,,,,,10
2018-12-19 07:24:00,,,0.0,,,,,,10
2018-12-19 07:45:00,,,,188.0,,,,,10
2018-12-19 08:25:00,,,,,495.0,8.0,,,10
2018-12-19 08:40:00,,,,,596.0,,,,10
2018-12-19 09:09:00,,123.0,,,,,,,10
2018-12-19 09:31:00,690.0,,,,,,,,10
2018-12-19 10:27:00,,,,,1018.0,,,,10
2018-12-19 10:36:00,848.0,,,,,,,,10
2018-12-19 10:43:00,,,,,1062.0,,,,10
2018-12-19 10:58:00,,,,,,,,961.0,10
2018-12-19 10:59:00,,,,,1074.0,,,,10
2018-12-19 11:03:00,,,,,1087.0,,,,10
2018-12-19 11:10:00,836.0,,,,,,,,10
2018-12-19 11:11:00,,,,,,,26.0,,10
2018-12-19 11:13:00,,,,,1029.0,,,,10
2018-12-19 11:15:00,,,,,,,,988.0,10
2018-12-19 11:20:00,,,,,,,29.0,,10
2018-12-19 11:22:00,,,,,1105.0,,,,10
2018-12-19 11:23:00,,,,,1092.0,,,,10
2018-12-19 11:26:00,907.0,,,,,,,,10
2018-12-19 11:27:00,,,,,1097.0,,,,10
2018-12-19 11:42:00,,,,,,,,1010.0,10
2018-12-19 11:43:00,,124.0,,,,,,,10
2018-12-19 11:50:00,,,,,,,,1022.0,10
2018-12-19 11:51:00,,124.0,,,,,,,10
2018-12-19 11:54:00,,,,,,,,1016.0,10
2018-12-19 12:00:00,,,,,,,,1006.0,10
2018-12-19 12:02:00,,,,,880.0,,,,10
2018-12-19 12:04:00,,,,,1174.0,,,,10
2018-12-19 12:05:00,,,,,1125.0,,,,10
2018-12-19 12:33:00,,124.0,,,,,,,10
2018-12-19 12:46:00,,,,,,,22.0,,10
2018-12-19 12:47:00,,124.0,,,,,,,10
2018-12-19 12:48:00,,,,,,,,796.0,10
2018-12-19 13:02:00,,,,,,,,1015.0,10
2018-12-19 13:04:00,,,,245.0,,,,,10
2018-12-19 13:09:00,,,,,,,,867.0,10
2018-12-19 13:12:00,,,,231.0,,,,,10
2018-12-19 13:36:00,,,,,,,,1046.0,10
2018-12-19 13:39:00,,,,,,,,240.0,10
2018-12-19 14:07:00,,,,,321.0,,,,10
2018-12-19 14:32:00,,,,,748.0,,,,10
2018-12-19 14:47:00,,,,255.0,,,,,10
2018-12-19 15:52:00,,122.0,,,,,,,10
2018-12-19 16:42:00,,,,,,,,0.0,10
2018-12-19 17:18:00,,122.0,,,,,,,10
2018-12-19 17:28:00,,,,,0.0,,,,10
2018-12-19 17:43:00,,122.0,,,,,,,10
2018-12-19 18:32:00,,122.0,,,,,,,10
2018-12-19 19:49:00,,122.0,,,,,,,10
2018-12-19 19:50:00,,122.0,,,,,,,10
2018-12-19 19:56:00,,122.0,,,,,,,10
2018-12-19 20:04:00,,,,0.0,,,,,10
2018-12-19 20:06:00,,,,0.0,,,,,10
2018-12-19 20:23:00,,122.0,,,,,,,10
2018-12-19 20:38:00,,122.0,,,,,,,10
2018-12-19 21:24:00,,122.0,,,,,,,10
2018-12-19 21:30:00,,122.0,,,,,,,10
2018-12-19 22:22:00,,122.0,,,,,,,10
