measured_on,ac_power__423,ac_voltage__426,ambient_temp__428,das_temp__433,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-02-03 01:26:00,,,,,0.0,,,10
2019-02-03 01:37:00,,122.0,,,,,,10
2019-02-03 01:38:00,,122.0,,,,,,10
2019-02-03 01:41:00,,122.0,,,,,,10
2019-02-03 02:01:00,,122.0,,,,,,10
2019-02-03 02:46:00,,122.0,,,,,,10
2019-02-03 02:47:00,,122.0,,,,,,10
2019-02-03 03:10:00,,122.0,,,,,,10
2019-02-03 07:28:00,,,,,184.0,,,10
2019-02-03 07:43:00,,,,,158.0,,,10
2019-02-03 08:07:00,,,,,,,101.0,10
2019-02-03 09:06:00,121.0,,,,,,,10
2019-02-03 09:22:00,,123.0,,,,,,10
2019-02-03 09:26:00,,123.0,,,,,,10
2019-02-03 09:28:00,,,,,,,747.0,10
2019-02-03 09:37:00,,,,,,861.0,,10
2019-02-03 09:39:00,,123.0,,,,,,10
2019-02-03 09:51:00,744.0,,,,,,,10
2019-02-03 09:57:00,,123.0,,,,,,10
2019-02-03 10:16:00,,,,,,,914.0,10
2019-02-03 10:22:00,,123.0,,,,,,10
2019-02-03 10:24:00,,,14.0,,,,,10
2019-02-03 10:30:00,832.0,,,,,,,10
2019-02-03 10:38:00,,,,,,1024.0,,10
2019-02-03 10:55:00,,,,13.0,,,,10
2019-02-03 10:59:00,,,,,,1100.0,,10
2019-02-03 11:03:00,,,,,226.0,,,10
2019-02-03 11:06:00,,,,,,1090.0,,10
2019-02-03 11:12:00,,,,,,,1048.0,10
2019-02-03 11:16:00,,,,,,1122.0,,10
2019-02-03 11:18:00,,,,,,1121.0,,10
2019-02-03 11:20:00,,,,,,,1057.0,10
2019-02-03 11:25:00,,,,,,1130.0,,10
2019-02-03 11:28:00,,,,,,1125.0,1065.0,10
2019-02-03 11:30:00,,,,,,1137.0,,10
2019-02-03 11:43:00,,,,,,1130.0,,10
2019-02-03 11:52:00,,,,,,,1090.0,10
2019-02-03 11:53:00,,,,,,,1090.0,10
2019-02-03 11:57:00,,,,,,1149.0,,10
2019-02-03 12:08:00,,,,,,1152.0,,10
2019-02-03 12:10:00,,,,,,,1096.0,10
2019-02-03 12:12:00,,,,,,,1095.0,10
2019-02-03 12:16:00,,,,,,1156.0,,10
2019-02-03 12:20:00,,,,,,,1100.0,10
2019-02-03 12:25:00,,,,,,1183.0,,10
2019-02-03 12:28:00,,,,,229.0,,,10
2019-02-03 12:29:00,,,,,,1175.0,,10
2019-02-03 12:32:00,,,,,,,1097.0,10
2019-02-03 12:44:00,,,,,233.0,,,10
2019-02-03 12:45:00,971.0,,,,,,,10
2019-02-03 12:48:00,973.0,,,,,,,10
2019-02-03 12:49:00,,,,,,,1085.0,10
2019-02-03 12:57:00,,,,,,,1081.0,10
2019-02-03 13:04:00,,,,,,,1071.0,10
2019-02-03 13:12:00,,124.0,,,,,,10
2019-02-03 13:14:00,,,,,,1163.0,,10
2019-02-03 13:19:00,,,,,,,1048.0,10
2019-02-03 13:20:00,,,,,,,1045.0,10
2019-02-03 13:21:00,,,,,,1135.0,,10
2019-02-03 13:24:00,,,,,235.0,,,10
2019-02-03 13:29:00,,,,,,1120.0,1031.0,10
2019-02-03 13:35:00,,,,,,1084.0,,10
2019-02-03 13:37:00,,,,,,1084.0,,10
2019-02-03 13:38:00,,,,,,1076.0,,10
2019-02-03 13:45:00,,,,,,1060.0,,10
2019-02-03 13:55:00,,,,,,1033.0,,10
2019-02-03 14:07:00,,,,,,1019.0,,10
2019-02-03 14:09:00,,,,,,1016.0,,10
2019-02-03 14:27:00,,,,,,1003.0,,10
2019-02-03 14:38:00,,,,,,,909.0,10
2019-02-03 14:42:00,,,,,232.0,,,10
2019-02-03 14:48:00,,124.0,,,,,,10
2019-02-03 15:04:00,,124.0,,,,,,10
2019-02-03 15:35:00,,,,,,,486.0,10
2019-02-03 15:56:00,,123.0,,,,,,10
2019-02-03 16:10:00,,,,,,481.0,,10
2019-02-03 16:16:00,363.0,,,,,,,10
2019-02-03 16:27:00,301.0,,,,,,,10
2019-02-03 16:58:00,,,,16.0,,,,10
2019-02-03 17:27:00,,,,,,,0.0,10
2019-02-03 20:23:00,,,,,0.0,,,10
2019-02-03 21:17:00,,122.0,,,,,,10
2019-02-03 22:39:00,,122.0,,,,,,10
2019-02-03 22:45:00,,122.0,,,,,,10
2019-02-03 23:03:00,,122.0,,,,,,10
