measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_2__430,poa_irradiance__421,system_id
2019-02-15 02:17:00,,122.0,,,,,,10
2019-02-15 02:31:00,,122.0,,,,,,10
2019-02-15 03:05:00,,,,,,,0.0,10
2019-02-15 04:19:00,,,,,,,0.0,10
2019-02-15 04:38:00,,,,0.0,,,,10
2019-02-15 06:30:00,,121.0,,,,,,10
2019-02-15 07:33:00,,,,233.0,,,,10
2019-02-15 07:45:00,,,,,269.0,,,10
2019-02-15 07:59:00,,123.0,,,,,,10
2019-02-15 08:18:00,,,,,,,446.0,10
2019-02-15 08:21:00,,123.0,,,,,,10
2019-02-15 08:23:00,,123.0,,,,,,10
2019-02-15 08:40:00,,,,,621.0,,,10
2019-02-15 09:21:00,,,,,,,739.0,10
2019-02-15 09:35:00,,124.0,,,,,,10
2019-02-15 09:46:00,,124.0,,,,,,10
2019-02-15 09:56:00,,124.0,,,972.0,,,10
2019-02-15 10:02:00,,124.0,,,,,,10
2019-02-15 10:06:00,,124.0,,,,,,10
2019-02-15 10:07:00,,124.0,,,,,,10
2019-02-15 10:17:00,,,,,,,941.0,10
2019-02-15 10:18:00,,,,,1031.0,,,10
2019-02-15 10:28:00,,,,240.0,,,,10
2019-02-15 10:35:00,,,,,1079.0,,,10
2019-02-15 10:45:00,,,,,1098.0,,,10
2019-02-15 10:51:00,,,,,,,1030.0,10
2019-02-15 10:55:00,,,,,1092.0,,,10
2019-02-15 10:57:00,,,,,1115.0,,,10
2019-02-15 11:05:00,,,,,1141.0,,,10
2019-02-15 11:07:00,,,,,,,1066.0,10
2019-02-15 11:15:00,,,,,1144.0,,,10
2019-02-15 11:19:00,,,,,1159.0,,,10
2019-02-15 11:21:00,,,,,1151.0,,,10
2019-02-15 11:22:00,,,,,1154.0,,,10
2019-02-15 11:23:00,,,,,1159.0,,,10
2019-02-15 11:25:00,,,,,1157.0,,,10
2019-02-15 11:28:00,,125.0,,,1153.0,,,10
2019-02-15 11:29:00,,,,,1153.0,,,10
2019-02-15 11:38:00,,,,233.0,,,,10
2019-02-15 11:50:00,,,,,1156.0,,,10
2019-02-15 11:52:00,,,,,1173.0,,1120.0,10
2019-02-15 11:55:00,,,,,1183.0,,,10
2019-02-15 11:56:00,,,,,,,1123.0,10
2019-02-15 11:58:00,,,,,1188.0,,,10
2019-02-15 12:03:00,,,,,1194.0,,,10
2019-02-15 12:16:00,,,,,,,1128.0,10
2019-02-15 12:18:00,1000.0,,,,,,,10
2019-02-15 12:20:00,,,,,1217.0,,,10
2019-02-15 12:23:00,,,,,1226.0,,,10
2019-02-15 12:24:00,,124.0,,,1220.0,,,10
2019-02-15 12:29:00,,,,,,,1130.0,10
2019-02-15 12:30:00,,,,,1220.0,,,10
2019-02-15 12:47:00,,,,,1205.0,,,10
2019-02-15 12:49:00,,,,,1192.0,,,10
2019-02-15 12:53:00,,,,227.0,,,,10
2019-02-15 12:54:00,,,,,1176.0,,,10
2019-02-15 12:58:00,,,,,,,1116.0,10
2019-02-15 12:59:00,959.0,,,,,,,10
2019-02-15 13:09:00,,,,,1172.0,,,10
2019-02-15 13:10:00,,,,,1158.0,,,10
2019-02-15 13:14:00,,,,,1160.0,39.0,,10
2019-02-15 13:22:00,,,,,1128.0,,,10
2019-02-15 13:23:00,,,,,1123.0,,,10
2019-02-15 13:39:00,,,,,1114.0,,,10
2019-02-15 13:40:00,,,,,,,1064.0,10
2019-02-15 13:43:00,,,,,,,1058.0,10
2019-02-15 13:51:00,,,,235.0,1114.0,,,10
2019-02-15 14:03:00,,,,,1079.0,,,10
2019-02-15 14:04:00,,,,,,,1009.0,10
2019-02-15 14:05:00,,,,,1082.0,,,10
2019-02-15 14:06:00,,,,,1072.0,,,10
2019-02-15 14:09:00,,,16.0,,,,,10
2019-02-15 14:10:00,,,16.0,,,,,10
2019-02-15 14:11:00,,,16.0,,,,,10
2019-02-15 14:32:00,,,,,1010.0,,,10
2019-02-15 15:09:00,,,,,,,793.0,10
2019-02-15 15:27:00,,,16.0,,,,,10
2019-02-15 15:28:00,,,16.0,,,,,10
2019-02-15 15:29:00,,,16.0,,,,,10
2019-02-15 15:30:00,,,16.0,,,,,10
2019-02-15 15:31:00,,,16.0,,,,,10
2019-02-15 15:48:00,,,,,,,615.0,10
2019-02-15 16:00:00,,,,,,,554.0,10
2019-02-15 16:28:00,,122.0,,,,,,10
2019-02-15 16:31:00,,,,,,,405.0,10
2019-02-15 17:13:00,,,,171.0,,,,10
2019-02-15 20:45:00,,122.0,,,,,,10
2019-02-15 21:41:00,,,,0.0,,,,10
2019-02-15 23:35:00,,,,0.0,,,,10
