measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2019-03-17 00:04:00,,122.0,,,,,,10
2019-03-17 00:09:00,,122.0,,,,,,10
2019-03-17 01:28:00,,,,0.0,,,,10
2019-03-17 03:33:00,,122.0,,,,,,10
2019-03-17 03:37:00,,122.0,,,,,,10
2019-03-17 03:38:00,,122.0,,,,,,10
2019-03-17 03:41:00,,122.0,,,,,,10
2019-03-17 04:00:00,,122.0,,,,,,10
2019-03-17 04:04:00,,122.0,,,,,,10
2019-03-17 05:24:00,,122.0,,,,,,10
2019-03-17 05:25:00,,122.0,,,,,,10
2019-03-17 05:28:00,,122.0,,,,,,10
2019-03-17 05:32:00,,122.0,,,,,,10
2019-03-17 05:33:00,,122.0,,,,,,10
2019-03-17 06:16:00,,,,,,,12.0,10
2019-03-17 06:35:00,,,,159.0,,,,10
2019-03-17 07:03:00,,,,,,,188.0,10
2019-03-17 07:10:00,,,,,,,222.0,10
2019-03-17 08:12:00,,,,238.0,,,,10
2019-03-17 08:28:00,547.0,,,,,,,10
2019-03-17 08:32:00,,124.0,,,,,,10
2019-03-17 10:08:00,,,,,1036.0,,,10
2019-03-17 10:09:00,,,,,1040.0,,,10
2019-03-17 10:16:00,,,,,,,1006.0,10
2019-03-17 10:19:00,,,,,,,1015.0,10
2019-03-17 10:32:00,,,,,1095.0,,,10
2019-03-17 10:37:00,,,,,,,1063.0,10
2019-03-17 10:39:00,,,,,,,1066.0,10
2019-03-17 10:45:00,,,,,1128.0,,,10
2019-03-17 10:49:00,,,,,,,1091.0,10
2019-03-17 10:52:00,,,,,,,1097.0,10
2019-03-17 11:06:00,,,,,,,1120.0,10
2019-03-17 11:08:00,,,,,,,1122.0,10
2019-03-17 11:10:00,,,,228.0,,,,10
2019-03-17 11:14:00,,,,,,,1136.0,10
2019-03-17 11:18:00,979.0,,,,,,,10
2019-03-17 11:19:00,,,,,,,1141.0,10
2019-03-17 11:22:00,,,,,,,1144.0,10
2019-03-17 11:24:00,,,,,,,1143.0,10
2019-03-17 11:26:00,,125.0,,,,,,10
2019-03-17 11:34:00,980.0,,,,,,1157.0,10
2019-03-17 11:35:00,,,,,,,1158.0,10
2019-03-17 11:37:00,,,,,,,1164.0,10
2019-03-17 11:38:00,,125.0,,,,,1168.0,10
2019-03-17 11:39:00,,,,,1216.0,,1168.0,10
2019-03-17 11:48:00,,,,,,,1164.0,10
2019-03-17 11:49:00,,,,,,,1158.0,10
2019-03-17 11:50:00,,,,,1195.0,,,10
2019-03-17 11:54:00,,,,,,,1158.0,10
2019-03-17 11:59:00,,,,,1190.0,,,10
2019-03-17 12:01:00,,,,,,,1168.0,10
2019-03-17 12:04:00,,,,,1210.0,,1173.0,10
2019-03-17 12:10:00,,,,,1228.0,,,10
2019-03-17 12:11:00,,,,,,,1169.0,10
2019-03-17 12:17:00,,,,,,,1164.0,10
2019-03-17 12:23:00,,125.0,,,,,,10
2019-03-17 12:26:00,,,,,,,1163.0,10
2019-03-17 12:29:00,,,,,1184.0,,,10
2019-03-17 12:35:00,,125.0,,,,,,10
2019-03-17 12:36:00,,,,,1195.0,,,10
2019-03-17 12:37:00,,125.0,,,,,,10
2019-03-17 12:41:00,,,,,1187.0,,,10
2019-03-17 12:46:00,,,,,,,1143.0,10
2019-03-17 12:48:00,,,,,,,1132.0,10
2019-03-17 12:52:00,,,,,1155.0,,,10
2019-03-17 13:04:00,,,,,1157.0,,,10
2019-03-17 13:06:00,,,,,,,1118.0,10
2019-03-17 13:10:00,,,,232.0,,,,10
2019-03-17 13:13:00,,,,,1162.0,,,10
2019-03-17 13:19:00,,,,,,,1089.0,10
2019-03-17 13:20:00,,,,228.0,1146.0,,1093.0,10
2019-03-17 13:22:00,,,,,,,1096.0,10
2019-03-17 13:25:00,,,,,1152.0,,,10
2019-03-17 13:38:00,,,,,,,1063.0,10
2019-03-17 13:40:00,,,,,1125.0,,,10
2019-03-17 13:43:00,,,,,1135.0,,,10
2019-03-17 13:44:00,,,,,,,1053.0,10
2019-03-17 13:47:00,,125.0,,,,,,10
2019-03-17 13:51:00,,,,,,,1051.0,10
2019-03-17 13:54:00,,,,,,,1006.0,10
2019-03-17 13:59:00,,,,,,,1011.0,10
2019-03-17 14:01:00,,,,,1089.0,,,10
2019-03-17 14:05:00,,125.0,,,,,,10
2019-03-17 14:06:00,,125.0,,,,,,10
2019-03-17 14:10:00,,,,,1039.0,,,10
2019-03-17 14:12:00,853.0,,,,,,,10
2019-03-17 14:17:00,,,,,,37.0,,10
2019-03-17 14:31:00,799.0,,,,,,,10
2019-03-17 14:52:00,658.0,,,,,,,10
2019-03-17 14:58:00,731.0,,,,,,,10
2019-03-17 15:00:00,,,,,863.0,,,10
2019-03-17 16:33:00,,,,,,,393.0,10
2019-03-17 16:35:00,,,,,383.0,,,10
2019-03-17 16:38:00,,123.0,,,,,,10
2019-03-17 17:01:00,,,,,,,261.0,10
2019-03-17 17:08:00,,,,,,15.0,,10
2019-03-17 17:15:00,114.0,,,,,,,10
2019-03-17 18:58:00,,,11.0,,,,,10
2019-03-17 19:22:00,,,10.0,,,,,10
2019-03-17 22:08:00,,,7.0,,,,,10
