measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_3__431,poa_irradiance__421,system_id
2019-03-12 01:34:00,,,,0.0,,,,,10
2019-03-12 03:38:00,,122.0,,,,,,,10
2019-03-12 03:50:00,,,,,,,,0.0,10
2019-03-12 04:45:00,,122.0,,,,,,,10
2019-03-12 04:46:00,,122.0,,,,,,,10
2019-03-12 06:47:00,,,,169.0,,,,,10
2019-03-12 07:24:00,,123.0,,,,,,,10
2019-03-12 08:01:00,188.0,,,,,,,,10
2019-03-12 08:07:00,,,,,,,,451.0,10
2019-03-12 08:30:00,,,,,,,,564.0,10
2019-03-12 08:37:00,,,,,262.0,,,,10
2019-03-12 09:04:00,,124.0,,,,,,,10
2019-03-12 09:18:00,,,,,,26.0,,,10
2019-03-12 09:29:00,,,,217.0,,,,,10
2019-03-12 09:46:00,,,,,1118.0,,,,10
2019-03-12 10:11:00,,,,,480.0,,,,10
2019-03-12 10:18:00,,,,,1283.0,,,,10
2019-03-12 10:21:00,,,,,1263.0,,,,10
2019-03-12 10:23:00,,,,,1110.0,,,,10
2019-03-12 10:46:00,,,,,,,,1137.0,10
2019-03-12 10:52:00,,,,,,,,1105.0,10
2019-03-12 10:54:00,,,,,,,,1118.0,10
2019-03-12 10:56:00,,,,,1140.0,,,1087.0,10
2019-03-12 11:28:00,,,,,,,,381.0,10
2019-03-12 11:34:00,1037.0,,,,,,,,10
2019-03-12 11:37:00,1083.0,,,,,,,,10
2019-03-12 11:55:00,,,,,,,,870.0,10
2019-03-12 12:04:00,,,,,506.0,,,,10
2019-03-12 12:10:00,,,,,1210.0,,,,10
2019-03-12 12:12:00,1152.0,,,,,,,,10
2019-03-12 12:16:00,,,,,,,,1182.0,10
2019-03-12 12:19:00,,,,,,,,1226.0,10
2019-03-12 12:20:00,,,,,,,,1259.0,10
2019-03-12 12:24:00,,,,,,,,1316.0,10
2019-03-12 12:34:00,,,,216.0,,,,,10
2019-03-12 12:44:00,,,,,1061.0,,,1057.0,10
2019-03-12 12:56:00,1003.0,,,,,,,1177.0,10
2019-03-12 12:58:00,,,,,,,,1154.0,10
2019-03-12 13:01:00,,,,,1122.0,,,,10
2019-03-12 13:08:00,,,,,,,,1233.0,10
2019-03-12 13:09:00,,,,,1072.0,,,,10
2019-03-12 13:10:00,,,,,1226.0,,,,10
2019-03-12 13:12:00,1043.0,,,,,,,,10
2019-03-12 13:15:00,,,,,1028.0,,,,10
2019-03-12 13:23:00,,123.0,,,,,,,10
2019-03-12 13:31:00,,,,,1164.0,,,,10
2019-03-12 14:02:00,,123.0,,,,,,,10
2019-03-12 14:32:00,,,,,468.0,,,,10
2019-03-12 14:51:00,,124.0,,,,,,,10
2019-03-12 15:11:00,,123.0,,,,,,,10
2019-03-12 15:21:00,,,,,,,23.0,,10
2019-03-12 15:38:00,,123.0,,,,,,,10
2019-03-12 15:41:00,,,,,,,,172.0,10
2019-03-12 15:42:00,,,,,,,,167.0,10
2019-03-12 15:48:00,,,,216.0,,,,,10
2019-03-12 16:18:00,,,,,,,,512.0,10
2019-03-12 16:21:00,,,20.0,,,,,,10
2019-03-12 16:39:00,,,,,,,,149.0,10
2019-03-12 16:44:00,,123.0,,,,,,,10
2019-03-12 18:00:00,,,,,,,,0.0,10
2019-03-12 18:01:00,,122.0,,,,,,,10
2019-03-12 18:03:00,,122.0,,,,,,,10
2019-03-12 18:27:00,,122.0,,,,,,,10
2019-03-12 19:31:00,,,13.0,,,,,,10
2019-03-12 22:42:00,,,,,0.0,,,,10
