measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-02-10 00:00:00,,,,,0.0,10
2019-02-10 00:04:00,,,,,0.0,10
2019-02-10 00:07:00,,,,,0.0,10
2019-02-10 00:08:00,,,,,0.0,10
2019-02-10 00:09:00,,,,,0.0,10
2019-02-10 00:10:00,,,,,0.0,10
2019-02-10 00:11:00,,,,,0.0,10
2019-02-10 00:17:00,,,,,0.0,10
2019-02-10 00:21:00,,,,,0.0,10
2019-02-10 00:22:00,,,,,0.0,10
2019-02-10 00:24:00,,,,,0.0,10
2019-02-10 00:26:00,,,,,0.0,10
2019-02-10 00:46:00,,,,,0.0,10
2019-02-10 00:47:00,,,,,0.0,10
2019-02-10 00:48:00,,,,,0.0,10
2019-02-10 00:51:00,,,,,0.0,10
2019-02-10 00:55:00,,,,,0.0,10
2019-02-10 00:57:00,,,,,0.0,10
2019-02-10 01:03:00,,,0.0,,,10
2019-02-10 01:15:00,,,,,0.0,10
2019-02-10 01:19:00,,,,,0.0,10
2019-02-10 01:20:00,,,,,0.0,10
2019-02-10 01:21:00,,,,,0.0,10
2019-02-10 01:22:00,,,,,0.0,10
2019-02-10 01:23:00,,,,,0.0,10
2019-02-10 01:24:00,,,,,0.0,10
2019-02-10 01:25:00,,,,,0.0,10
2019-02-10 01:26:00,,,,,0.0,10
2019-02-10 01:32:00,,,,,0.0,10
2019-02-10 01:33:00,,,,,0.0,10
2019-02-10 01:37:00,,,,,0.0,10
2019-02-10 01:38:00,,,,,0.0,10
2019-02-10 01:39:00,,,,,0.0,10
2019-02-10 01:42:00,,,,,0.0,10
2019-02-10 01:43:00,,,,,0.0,10
2019-02-10 01:44:00,,,,,0.0,10
2019-02-10 02:00:00,,,,,0.0,10
2019-02-10 02:05:00,,,,,0.0,10
2019-02-10 02:07:00,,,,,0.0,10
2019-02-10 02:09:00,,,,,0.0,10
2019-02-10 02:12:00,,,,,0.0,10
2019-02-10 02:16:00,,,,,0.0,10
2019-02-10 02:21:00,,,,,0.0,10
2019-02-10 02:22:00,,,,,0.0,10
2019-02-10 02:31:00,,,,,0.0,10
2019-02-10 02:32:00,,,,,0.0,10
2019-02-10 02:33:00,,,,,0.0,10
2019-02-10 02:34:00,,,,,0.0,10
2019-02-10 02:35:00,,,,,0.0,10
2019-02-10 02:38:00,,,,,0.0,10
2019-02-10 02:40:00,,,,,0.0,10
2019-02-10 02:43:00,,,,,0.0,10
2019-02-10 02:54:00,,,,,0.0,10
2019-02-10 03:02:00,,,,,0.0,10
2019-02-10 03:07:00,,,,,0.0,10
2019-02-10 03:10:00,,,,,0.0,10
2019-02-10 03:13:00,,,,,0.0,10
2019-02-10 03:18:00,,,,,0.0,10
2019-02-10 03:35:00,,,,,0.0,10
2019-02-10 03:38:00,,,,,0.0,10
2019-02-10 03:40:00,,122.0,,,,10
2019-02-10 05:39:00,,,0.0,,,10
2019-02-10 06:47:00,,,,,0.0,10
2019-02-10 07:50:00,,,,180.0,,10
2019-02-10 07:56:00,,122.0,,,,10
2019-02-10 08:02:00,,,,,294.0,10
2019-02-10 08:34:00,,,,,475.0,10
2019-02-10 08:53:00,,,,672.0,,10
2019-02-10 08:57:00,,,,632.0,,10
2019-02-10 09:33:00,,,241.0,,,10
2019-02-10 09:37:00,,,240.0,,,10
2019-02-10 10:09:00,,,,,1023.0,10
2019-02-10 10:10:00,,,,,1027.0,10
2019-02-10 10:16:00,859.0,,,,1050.0,10
2019-02-10 10:25:00,,,,1060.0,,10
2019-02-10 10:28:00,,,,,1079.0,10
2019-02-10 10:36:00,907.0,,,,,10
2019-02-10 10:51:00,,,,,1080.0,10
2019-02-10 10:55:00,,,,,1081.0,10
2019-02-10 10:59:00,,,238.0,,,10
2019-02-10 11:00:00,,,,,1085.0,10
2019-02-10 11:02:00,,,,1154.0,,10
2019-02-10 11:06:00,,,,,1088.0,10
2019-02-10 11:07:00,,,,1165.0,,10
2019-02-10 11:14:00,,,,1170.0,,10
2019-02-10 11:22:00,,124.0,,,,10
2019-02-10 11:23:00,,,,1155.0,,10
2019-02-10 11:29:00,,124.0,,,,10
2019-02-10 11:31:00,,,,1175.0,,10
2019-02-10 11:33:00,,,,1179.0,,10
2019-02-10 11:36:00,,,,,1108.0,10
2019-02-10 11:38:00,,,,,1114.0,10
2019-02-10 11:51:00,,,,1203.0,,10
2019-02-10 11:52:00,,,,,1117.0,10
2019-02-10 11:53:00,1002.0,,,,,10
2019-02-10 11:55:00,,,,,1113.0,10
2019-02-10 12:00:00,,,,1217.0,,10
2019-02-10 12:04:00,,,,1210.0,,10
2019-02-10 12:09:00,,,,,1119.0,10
2019-02-10 12:24:00,,,,1196.0,,10
2019-02-10 12:26:00,,,,1201.0,,10
2019-02-10 12:31:00,,124.0,,,,10
2019-02-10 12:41:00,,,,1221.0,,10
2019-02-10 12:45:00,,,,1193.0,,10
2019-02-10 12:54:00,,,,1175.0,,10
2019-02-10 12:55:00,,124.0,,,1094.0,10
2019-02-10 12:58:00,,,,1177.0,,10
2019-02-10 13:06:00,,,,1129.0,,10
2019-02-10 13:07:00,,,,1133.0,1056.0,10
2019-02-10 13:10:00,,,,1135.0,,10
2019-02-10 13:22:00,,,,1134.0,,10
2019-02-10 13:23:00,,,,1136.0,,10
2019-02-10 13:28:00,,,,1111.0,,10
2019-02-10 13:32:00,,,,1116.0,,10
2019-02-10 13:34:00,,,,,1004.0,10
2019-02-10 13:44:00,,,,1090.0,,10
2019-02-10 13:54:00,887.0,,,,,10
2019-02-10 13:56:00,,124.0,,,,10
2019-02-10 14:07:00,,,,1053.0,,10
2019-02-10 14:09:00,872.0,,,,,10
2019-02-10 14:11:00,,,,1043.0,,10
2019-02-10 14:20:00,,,,,910.0,10
2019-02-10 14:57:00,,,253.0,830.0,,10
2019-02-10 15:16:00,,123.0,,,,10
2019-02-10 15:17:00,620.0,,,,,10
2019-02-10 18:02:00,,,0.0,,,10
2019-02-10 18:12:00,,122.0,,,,10
2019-02-10 21:30:00,,122.0,,,,10
2019-02-10 22:46:00,,,0.0,,,10
