measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-02-22 00:00:00,,,,,,0.0,10
2019-02-22 00:03:00,,,,,,0.0,10
2019-02-22 00:06:00,,,,,,0.0,10
2019-02-22 00:08:00,,122.0,,,,,10
2019-02-22 00:12:00,,,,,,0.0,10
2019-02-22 00:14:00,,,,,,0.0,10
2019-02-22 00:22:00,,,,,,0.0,10
2019-02-22 00:25:00,,,,,,0.0,10
2019-02-22 00:26:00,,,,,,0.0,10
2019-02-22 00:27:00,,,,,,0.0,10
2019-02-22 00:28:00,,,,,,0.0,10
2019-02-22 00:29:00,,,,,,0.0,10
2019-02-22 00:40:00,,,,,,0.0,10
2019-02-22 00:41:00,,,,,,0.0,10
2019-02-22 00:45:00,,,,,,0.0,10
2019-02-22 00:50:00,,,,,,0.0,10
2019-02-22 00:51:00,,,,,,0.0,10
2019-02-22 00:52:00,,,,,,0.0,10
2019-02-22 00:57:00,,,,,,0.0,10
2019-02-22 01:07:00,,,,,,0.0,10
2019-02-22 01:08:00,,,,,,0.0,10
2019-02-22 01:09:00,,,,,,0.0,10
2019-02-22 01:10:00,,,,,,0.0,10
2019-02-22 01:12:00,,,,,,0.0,10
2019-02-22 01:13:00,,,,,,0.0,10
2019-02-22 01:17:00,,,,,,0.0,10
2019-02-22 01:20:00,,,,,,0.0,10
2019-02-22 01:22:00,,,,,,0.0,10
2019-02-22 01:23:00,,,,,,0.0,10
2019-02-22 01:27:00,,,,,,0.0,10
2019-02-22 01:29:00,,,,,,0.0,10
2019-02-22 01:47:00,,122.0,,,,,10
2019-02-22 01:59:00,,122.0,,,,,10
2019-02-22 02:08:00,,122.0,,,,,10
2019-02-22 02:15:00,,122.0,,,,,10
2019-02-22 02:36:00,,122.0,,,,,10
2019-02-22 03:19:00,,122.0,,,,,10
2019-02-22 03:24:00,,122.0,,,,,10
2019-02-22 03:28:00,,,,,,0.0,10
2019-02-22 03:31:00,,,,,,0.0,10
2019-02-22 03:43:00,,,,,,0.0,10
2019-02-22 03:46:00,,,,,,0.0,10
2019-02-22 03:47:00,,,,,,0.0,10
2019-02-22 03:48:00,,,,,,0.0,10
2019-02-22 03:52:00,,,,,,0.0,10
2019-02-22 03:54:00,,,,,,0.0,10
2019-02-22 03:55:00,,,,,,0.0,10
2019-02-22 03:57:00,,,,,,0.0,10
2019-02-22 03:58:00,,,,,,0.0,10
2019-02-22 04:00:00,,,,,,0.0,10
2019-02-22 04:01:00,,,,,,0.0,10
2019-02-22 04:02:00,,,,,,0.0,10
2019-02-22 04:07:00,,,,,,0.0,10
2019-02-22 04:12:00,,,,,,0.0,10
2019-02-22 04:14:00,,,,,,0.0,10
2019-02-22 04:38:00,,,,,,0.0,10
2019-02-22 04:46:00,,,,,,0.0,10
2019-02-22 05:20:00,,,,,,0.0,10
2019-02-22 05:22:00,,,,,,0.0,10
2019-02-22 05:29:00,,,,,,0.0,10
2019-02-22 05:59:00,,,,0.0,,,10
2019-02-22 06:29:00,,,,,,0.0,10
2019-02-22 06:34:00,,,,,,0.0,10
2019-02-22 06:35:00,,,,,,0.0,10
2019-02-22 07:15:00,,,,105.0,,,10
2019-02-22 09:19:00,52.0,,,,,,10
2019-02-22 11:00:00,,,,227.0,,,10
2019-02-22 11:13:00,,,,,,209.0,10
2019-02-22 12:08:00,,,,249.0,,,10
2019-02-22 12:16:00,,,,244.0,,,10
2019-02-22 12:42:00,,123.0,,,,,10
2019-02-22 12:49:00,313.0,,,,,,10
2019-02-22 13:01:00,,,,,299.0,,10
2019-02-22 13:03:00,,,,243.0,,,10
2019-02-22 14:46:00,,122.0,,,,,10
2019-02-22 14:54:00,,,,225.0,,,10
2019-02-22 15:09:00,,,,225.0,,,10
2019-02-22 16:00:00,,,0.0,,,,10
2019-02-22 17:18:00,,122.0,,,,,10
2019-02-22 17:19:00,,122.0,,,,,10
2019-02-22 17:24:00,,122.0,,,,,10
2019-02-22 17:53:00,,,,,,0.0,10
2019-02-22 18:09:00,,,,,,0.0,10
2019-02-22 18:13:00,,,,,,0.0,10
2019-02-22 18:22:00,,,,,,0.0,10
2019-02-22 18:23:00,,,,,,0.0,10
2019-02-22 18:27:00,,,,,,0.0,10
2019-02-22 18:31:00,,,,,,0.0,10
