measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,module_temp_2__430,poa_irradiance__421,system_id
2019-02-17 01:35:00,,122.0,,,,,,,10
2019-02-17 01:41:00,,122.0,,,,,,,10
2019-02-17 01:45:00,,122.0,,,,,,,10
2019-02-17 02:35:00,,,,0.0,,,,,10
2019-02-17 05:37:00,,,,0.0,,,,,10
2019-02-17 06:12:00,,121.0,,,,,,,10
2019-02-17 06:15:00,,121.0,,,,,,,10
2019-02-17 06:22:00,,121.0,,,,,,,10
2019-02-17 06:26:00,,121.0,,,,,,,10
2019-02-17 07:24:00,,,,,166.0,,,,10
2019-02-17 07:42:00,,121.0,,,,,,,10
2019-02-17 07:43:00,,121.0,,,,,,,10
2019-02-17 08:24:00,,,,,181.0,,,,10
2019-02-17 08:31:00,,,,,402.0,,,,10
2019-02-17 08:44:00,583.0,,,,,,,,10
2019-02-17 08:50:00,,,,251.0,,,,,10
2019-02-17 09:01:00,,,,,766.0,,,,10
2019-02-17 09:17:00,,,,,,15.0,,,10
2019-02-17 09:42:00,798.0,,,,,,,,10
2019-02-17 10:11:00,,,,,1042.0,,,,10
2019-02-17 10:12:00,,,,,1043.0,,,,10
2019-02-17 10:13:00,,,,,1046.0,,,,10
2019-02-17 10:16:00,,,,,,,,966.0,10
2019-02-17 10:17:00,,,,,1063.0,,,,10
2019-02-17 10:26:00,,,,,,,,1001.0,10
2019-02-17 10:43:00,,,,,,,,1047.0,10
2019-02-17 10:44:00,,,,,1130.0,,,,10
2019-02-17 10:50:00,,,,,1203.0,,,,10
2019-02-17 10:56:00,,,,,,,,1080.0,10
2019-02-17 10:59:00,1066.0,,,,1286.0,,,,10
2019-02-17 11:00:00,,,,,1061.0,,,,10
2019-02-17 11:03:00,,,,,,,,1216.0,10
2019-02-17 11:04:00,1096.0,,,,,,,,10
2019-02-17 11:05:00,,,,,,,,1267.0,10
2019-02-17 11:08:00,,,,,1017.0,,,,10
2019-02-17 11:12:00,,,,,1017.0,,,,10
2019-02-17 11:19:00,,124.0,,,,,,,10
2019-02-17 12:10:00,,,,,,,,1173.0,10
2019-02-17 12:15:00,,,,,,,,1192.0,10
2019-02-17 12:25:00,,,,,,,,1166.0,10
2019-02-17 12:28:00,,,,,1271.0,,,,10
2019-02-17 12:33:00,,,,,1272.0,,,,10
2019-02-17 12:36:00,1050.0,,,,,,,,10
2019-02-17 12:37:00,1052.0,,,,,,,,10
2019-02-17 12:40:00,1049.0,,,,,,,,10
2019-02-17 12:41:00,1047.0,,,,,,,,10
2019-02-17 12:42:00,,,,,,,,1153.0,10
2019-02-17 12:45:00,,125.0,,,,,,,10
2019-02-17 12:47:00,,,,,,,,1144.0,10
2019-02-17 12:48:00,,,,,1257.0,,,1147.0,10
2019-02-17 12:49:00,,,,,,,,1144.0,10
2019-02-17 12:56:00,,,,,1272.0,,,,10
2019-02-17 12:58:00,1056.0,,,,,,,,10
2019-02-17 12:59:00,,,,,,,,1174.0,10
2019-02-17 13:01:00,1063.0,,,,,,,,10
2019-02-17 13:04:00,,,,242.0,,,,,10
2019-02-17 13:05:00,1077.0,,,,,,,1202.0,10
2019-02-17 13:06:00,1094.0,,,,,,,,10
2019-02-17 13:08:00,1065.0,,,,,,,,10
2019-02-17 13:10:00,,,,,1315.0,,,,10
2019-02-17 13:14:00,1121.0,,,,,,,,10
2019-02-17 13:33:00,,123.0,,,,,,,10
2019-02-17 13:35:00,,123.0,,,,,,,10
2019-02-17 13:36:00,,,,,,,11.0,,10
2019-02-17 14:24:00,,,,,170.0,,,,10
2019-02-17 14:25:00,135.0,,,,,,,,10
2019-02-17 14:28:00,,122.0,,,,,,,10
2019-02-17 14:29:00,,122.0,,,,,,,10
2019-02-17 14:33:00,,,,,,,,148.0,10
2019-02-17 15:04:00,,122.0,,,,,,,10
2019-02-17 16:23:00,,,0.0,,,,,,10
2019-02-17 16:50:00,,121.0,,,,,,,10
2019-02-17 19:20:00,,,,,,,,0.0,10
2019-02-17 20:13:00,,,,0.0,,,,,10
2019-02-17 22:48:00,,122.0,,,,,,,10
2019-02-17 23:20:00,,122.0,,,,,,,10
