measured_on,ac_voltage__426,das_battery_voltage__434,dc_pos_voltage__424,poa_irradiance__421,system_id
2019-03-03 00:03:00,,,,0.0,10
2019-03-03 00:04:00,,,,0.0,10
2019-03-03 00:05:00,,,,0.0,10
2019-03-03 00:06:00,,,,0.0,10
2019-03-03 00:08:00,,,,0.0,10
2019-03-03 00:09:00,,,,0.0,10
2019-03-03 00:10:00,,,,0.0,10
2019-03-03 00:11:00,,,,0.0,10
2019-03-03 00:12:00,,,,0.0,10
2019-03-03 00:13:00,,,,0.0,10
2019-03-03 00:14:00,,,,0.0,10
2019-03-03 00:15:00,,,,0.0,10
2019-03-03 00:16:00,,,,0.0,10
2019-03-03 00:17:00,,,,0.0,10
2019-03-03 00:18:00,,,,0.0,10
2019-03-03 00:19:00,,,,0.0,10
2019-03-03 00:20:00,,,,0.0,10
2019-03-03 00:21:00,,,,0.0,10
2019-03-03 00:22:00,,,,0.0,10
2019-03-03 00:23:00,,,,0.0,10
2019-03-03 00:24:00,,,,0.0,10
2019-03-03 00:25:00,,,,0.0,10
2019-03-03 00:26:00,,,,0.0,10
2019-03-03 00:27:00,,,,0.0,10
2019-03-03 00:28:00,,,,0.0,10
2019-03-03 00:29:00,,,,0.0,10
2019-03-03 00:30:00,,,,0.0,10
2019-03-03 00:31:00,,,,0.0,10
2019-03-03 00:32:00,,,,0.0,10
2019-03-03 00:33:00,,,,0.0,10
2019-03-03 01:05:00,122.0,,,,10
2019-03-03 01:07:00,122.0,,,,10
2019-03-03 06:11:00,,,,0.0,10
2019-03-03 06:13:00,,,,0.0,10
2019-03-03 06:14:00,,,,0.0,10
2019-03-03 08:10:00,,,,653.0,10
2019-03-03 09:06:00,,,144.0,287.0,10
2019-03-03 11:42:00,,,,447.0,10
2019-03-03 12:21:00,,,152.0,,10
2019-03-03 14:47:00,122.0,,,,10
2019-03-03 14:48:00,122.0,,,,10
2019-03-03 14:49:00,122.0,,,,10
2019-03-03 15:13:00,122.0,,,,10
2019-03-03 15:31:00,122.0,,,,10
2019-03-03 18:02:00,,,,0.0,10
2019-03-03 18:03:00,,,,0.0,10
2019-03-03 18:04:00,,,,0.0,10
2019-03-03 19:06:00,,14.0,,,10
2019-03-03 19:45:00,,,,0.0,10
2019-03-03 19:47:00,,,,0.0,10
2019-03-03 19:48:00,,,,0.0,10
2019-03-03 19:49:00,,,,0.0,10
2019-03-03 19:50:00,,,,0.0,10
2019-03-03 19:51:00,,,,0.0,10
2019-03-03 19:52:00,,,,0.0,10
2019-03-03 19:53:00,,,,0.0,10
2019-03-03 19:54:00,,,,0.0,10
2019-03-03 19:55:00,,,,0.0,10
2019-03-03 19:56:00,,,,0.0,10
2019-03-03 19:57:00,,,,0.0,10
2019-03-03 19:58:00,,,,0.0,10
2019-03-03 19:59:00,,,,0.0,10
2019-03-03 20:00:00,,,,0.0,10
2019-03-03 20:01:00,,,,0.0,10
2019-03-03 20:02:00,,,,0.0,10
2019-03-03 20:03:00,,,,0.0,10
2019-03-03 20:04:00,,,,0.0,10
2019-03-03 20:06:00,,,,0.0,10
2019-03-03 20:07:00,,,,0.0,10
2019-03-03 20:08:00,,,,0.0,10
2019-03-03 20:09:00,,,,0.0,10
2019-03-03 20:10:00,,,,0.0,10
2019-03-03 20:11:00,,,,0.0,10
2019-03-03 20:12:00,,,,0.0,10
2019-03-03 20:13:00,,,,0.0,10
2019-03-03 20:15:00,,,,0.0,10
2019-03-03 20:16:00,,,,0.0,10
2019-03-03 20:17:00,,,,0.0,10
2019-03-03 20:18:00,,,,0.0,10
2019-03-03 20:19:00,,,,0.0,10
2019-03-03 20:20:00,,,,0.0,10
2019-03-03 20:22:00,,,,0.0,10
2019-03-03 20:24:00,,,,0.0,10
2019-03-03 20:26:00,,,,0.0,10
2019-03-03 20:28:00,,,,0.0,10
2019-03-03 20:30:00,,,,0.0,10
2019-03-03 20:31:00,,,,0.0,10
2019-03-03 20:32:00,,,,0.0,10
2019-03-03 20:33:00,,,,0.0,10
2019-03-03 20:34:00,,,,0.0,10
2019-03-03 20:35:00,,,,0.0,10
2019-03-03 20:36:00,,,,0.0,10
2019-03-03 20:38:00,,,,0.0,10
2019-03-03 20:39:00,,,,0.0,10
2019-03-03 20:40:00,,,,0.0,10
2019-03-03 20:47:00,,,,0.0,10
