measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-01-12 07:51:00,,,20.0,,,,,10
2019-01-12 10:10:00,,,160.0,,,,,10
2019-01-12 10:31:00,,,164.0,,,,,10
2019-01-12 10:42:00,,,165.0,,,,,10
2019-01-12 10:44:00,,,,62.0,,,,10
2019-01-12 10:58:00,,,215.0,,,,,10
2019-01-12 11:37:00,233.0,,,,,,,10
2019-01-12 12:52:00,,,,254.0,,,,10
2019-01-12 12:57:00,,,,,,18.0,,10
2019-01-12 13:18:00,,123.0,,,,,,10
2019-01-12 13:19:00,,123.0,,,,,,10
2019-01-12 13:28:00,,123.0,,,,,,10
2019-01-12 13:46:00,338.0,,168.0,,,,,10
2019-01-12 14:30:00,,,,,,,703.0,10
2019-01-12 14:43:00,,124.0,,,,,,10
2019-01-12 14:52:00,,,,686.0,,,,10
2019-01-12 15:00:00,,,,,1.0,,,10
2019-01-12 15:04:00,,124.0,,,,,,10
2019-01-12 15:07:00,,124.0,,,,,,10
2019-01-12 15:14:00,,,,,,,718.0,10
2019-01-12 16:10:00,,123.0,,,,,,10
2019-01-12 16:16:00,,,,,,,285.0,10
2019-01-12 17:01:00,,122.0,,,,,,10
2019-01-12 20:28:00,,122.0,,,,,,10
2019-01-12 22:27:00,,,0.0,,,,,10
