measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2022-01-02 00:00:00,1.6636,-1.6428,120.12,-7.003,13.871,-7.1691,-0.0653799999999999,0.14634,-0.00726,-9.8716,-8.4131,-8.2782,-8.320299999999998,-2.6562,10
2022-01-02 00:01:00,1.6641,-1.6983,120.15,-7.0011,13.865,-7.1496,-0.06868,0.3325799999999999,-0.02266,-9.8622,-8.4473,-8.263099999999998,-8.3087,-2.6562,10
2022-01-02 00:02:00,1.6641,-1.4319,120.27,-7.0306,13.867,-7.1478,-0.06923,-0.36363,0.0339,-9.8583,-8.4738,-8.253999999999998,-8.336,-2.6562,10
2022-01-02 00:03:00,1.663,-1.8093,120.22,-6.9526,13.867,-7.1302,-0.0706999999999999,0.2039799999999999,-0.01814,-9.8361,-8.3632,-8.2073,-8.289899999999998,-2.6562,10
2022-01-02 00:04:00,1.6633,-1.6539,120.29,-6.7148,13.868,-7.1125,-0.0664799999999999,0.11086,-0.0093799999999999,-9.824,-8.2439,-8.090899999999998,-8.1446,-2.6561,10
2022-01-02 00:05:00,1.663,-1.6206,120.27,-6.7327,13.868,-7.1054,-0.06429,-0.07982,0.0109199999999999,-9.8089,-8.3311,-8.1462,-8.1911,-2.6561,10
2022-01-02 00:06:00,1.6628,-2.0535,120.27,-6.8367,13.865,-7.0736,-0.0613599999999999,-0.0044299999999999,0.0044799999999999,-9.7994,-8.3876,-8.086,-8.0744,-2.6561,10
2022-01-02 00:07:00,1.6633,-1.3986,120.32,-6.8699,13.864,-7.0647,-0.0697799999999999,1.1973,-0.08476,-9.7716,-8.2257,-8.1141,-8.163399999999998,-2.656,10
2022-01-02 00:08:00,1.6633,-1.2099,120.24,-6.8355,13.863,-7.07,-0.06282,1.1751,-0.0729299999999999,-9.7827,-8.257899999999998,-8.1491,-8.1883,-2.656,10
2022-01-02 00:09:00,1.663,-1.6317,120.26,-6.7822,13.861,-7.0576,-0.0683099999999999,0.58091,-0.0429099999999999,-9.7739,-8.270799999999998,-8.1258,-8.167199999999998,-2.656,10
2022-01-02 00:10:00,1.663,-1.1544,120.24,-6.8041,13.863,-7.0417,-0.0685,0.4656199999999999,-0.0312899999999999,-9.7636,-8.3223,-8.1091,-8.157,-2.656,10
2022-01-02 00:11:00,1.663,-1.4208,120.38,-6.7951,13.862,-7.0294,-0.07179,-0.12416,0.00296,-9.7301,-8.254799999999998,-8.1033,-8.2192,-2.656,10
