,ac_power_inv_17361_daily_max,ac_power_inv_17361_daily_mean
2025-01-01,1.548,0.39027586206896553
2025-01-02,0.7319999999999999,0.15937931034482755
2025-01-03,1.848,0.788470588235294
2025-01-04,1.704,0.7536
2025-01-05,0.3599999999999999,0.18288888888888888
2025-01-06,1.236,0.6038181818181818
2025-01-07,1.68,0.5742702702702702
2025-01-08,1.644,0.9047567567567567
2025-01-09,1.716,0.8875675675675675
2025-01-10,0.2879999999999999,0.06952941176470587
2025-01-11,1.764,0.28049999999999997
2025-01-12,0.276,0.10285714285714283
2025-01-13,1.872,0.6598628571428571
2025-01-14,1.884,0.9295135135135135
2025-01-15,1.692,0.7575929203539823
2025-01-16,1.56,0.5098947368421053
2025-01-17,1.776,0.9568141592920354
2025-01-18,1.848,0.9936637168141593
2025-01-19,1.896,0.6609545454545455
2025-01-20,1.944,0.5766101694915254
2025-01-21,1.932,1.069263157894737
2025-01-22,0.7439999999999999,0.09275862068965515
2025-01-23,1.812,0.7033513513513514
2025-01-24,1.428,0.49184
2025-01-25,1.884,0.9436842105263158
2025-01-26,1.74,0.897948717948718
2025-01-27,1.896,0.9081025641025642
2025-01-28,1.872,0.9911
2025-01-29,1.788,0.9632999999999999
2025-01-30,1.308,0.2428636363636363
2025-01-31,1.116,0.2689090909090909
2025-02-01,1.14,0.4168739495798319
2025-02-02,1.332,0.4894358974358974
2025-02-03,1.524,0.3666315789473684
2025-02-04,1.812,0.5835737704918033
2025-02-05,0.5879999999999999,0.1659310344827586
2025-02-06,1.608,0.5692
2025-02-07,1.524,0.551900826446281
2025-02-08,0.2999999999999999,0.11005128205128202
2025-02-09,1.8,0.8916097560975609
2025-02-10,1.896,0.9965853658536585
2025-02-11,1.74,0.6839024390243903
2025-02-12,0.0599999999999999,0.019835294117647034
2025-02-13,1.26,0.5966486486486486
2025-02-14,0.8639999999999999,0.3593333333333333
