measured_on,ac_power__423,ac_voltage__426,das_temp__433,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-03-14 00:53:00,,,,0.0,,,10
2019-03-14 03:40:00,,122.0,,,,,10
2019-03-14 03:44:00,,122.0,,,,,10
2019-03-14 05:42:00,,,,0.0,,,10
2019-03-14 06:10:00,,,,,,0.0,10
2019-03-14 06:36:00,,,,,,18.0,10
2019-03-14 08:07:00,,,,158.0,,,10
2019-03-14 08:12:00,0.0,,,,,,10
2019-03-14 09:22:00,,,,,129.0,,10
2019-03-14 09:42:00,,,,234.0,,,10
2019-03-14 09:51:00,292.0,,,,,,10
2019-03-14 09:53:00,286.0,,,,,,10
2019-03-14 10:00:00,,,,,,572.0,10
2019-03-14 10:13:00,,,,,,737.0,10
2019-03-14 10:15:00,464.0,,,,,,10
2019-03-14 10:56:00,,,,,,1049.0,10
2019-03-14 11:09:00,,,,,,1045.0,10
2019-03-14 11:14:00,,,,,579.0,,10
2019-03-14 11:30:00,,,,,1072.0,,10
2019-03-14 11:33:00,,,,243.0,,,10
2019-03-14 12:02:00,,,,,665.0,,10
2019-03-14 12:07:00,,,,,1111.0,,10
2019-03-14 12:48:00,,,,,,801.0,10
2019-03-14 13:52:00,,,,,1020.0,,10
2019-03-14 13:55:00,,,,235.0,,,10
2019-03-14 13:56:00,,,,,1022.0,,10
2019-03-14 14:47:00,470.0,,,,,,10
2019-03-14 15:16:00,,,,243.0,,,10
2019-03-14 15:31:00,,,,,,433.0,10
2019-03-14 15:46:00,,,,,,349.0,10
2019-03-14 15:53:00,,,,,,336.0,10
2019-03-14 16:20:00,,123.0,,,,,10
2019-03-14 18:32:00,,122.0,,,,,10
2019-03-14 18:48:00,,,,0.0,,,10
2019-03-14 18:53:00,,122.0,,,,,10
2019-03-14 19:01:00,,,2.0,,,,10
2019-03-14 19:07:00,,122.0,,,,,10
2019-03-14 19:13:00,,122.0,,,,,10
2019-03-14 23:20:00,,122.0,,,,,10
2019-03-14 23:25:00,,122.0,,,,,10
2019-03-14 23:26:00,,122.0,,,,,10
2019-03-14 23:39:00,,,,0.0,,,10
2019-03-14 23:50:00,,122.0,,,,,10
