,ac_power_inv_16513_daily_max,ac_power_inv_16513_daily_mean,ac_energy_inv_16513_daily_sum
2013-01-01,4.32,1.8744261363636363,27.496
2013-01-02,4.218,1.787047619047619,25.016
2013-01-03,4.188,1.8441079545454544,27.046
2013-01-04,4.251,1.8680568181818182,27.399
2013-01-05,4.1850000000000005,1.8813295454545456,27.591
2013-01-06,3.798,1.0962033898305084,16.167
2013-01-07,4.128,1.7632897727272727,25.861
2013-01-08,4.088,1.8177954545454547,26.657
2013-01-09,4.194,1.774221590909091,26.022
2013-01-10,3.945,0.6196723163841809,9.141
2013-01-11,4.627,1.88988,27.555
2013-01-12,4.431,1.5380738636363638,22.558
2013-01-13,4.394,1.6757683615819208,24.726
2013-01-14,4.776,1.8781363636363637,27.544
2013-01-15,4.392,1.9501966292134831,28.929
2013-01-16,4.252,1.5946184210526315,20.194
2013-01-17,4.256,1.927005681818182,28.261
2013-01-18,4.223,1.7475738636363636,25.631
2013-01-19,4.13,1.8813579545454546,27.597
2013-01-20,3.989,1.7021534090909092,24.962
2013-01-21,3.991,1.8046363636363636,26.465
2013-01-22,4.0,1.8355511363636365,26.92
2013-01-23,4.656000000000001,1.2447359550561798,18.459
2013-01-24,1.078,0.2694508670520231,3.886
2013-01-25,3.431,1.0980621468926555,16.196
2013-01-26,4.095,0.8261734104046242,11.914
2013-01-27,2.967,0.8376704545454546,12.278
2013-01-28,4.551,0.7919999999999999,11.617
2013-01-29,4.615,2.066779661016949,30.488
2013-01-30,4.335,1.9839385474860336,29.59
2013-01-31,3.15,1.1989774011299434,17.689
2013-02-01,4.261,1.9317359550561797,28.659
2013-02-02,4.319,1.8106460674157305,26.856
2013-02-03,3.2060000000000004,0.7697897727272728,11.296
2013-02-04,4.364,1.4085227272727272,20.655
2013-02-05,4.194,1.9261516853932585,28.57
2013-02-06,4.545,1.6415027932960895,24.487
2013-02-07,4.19,1.9446460674157302,28.84
2013-02-08,3.486,1.229,18.127
2013-02-09,4.838,1.043596590909091,15.305
2013-02-10,4.5280000000000005,2.093050279329609,31.224
2013-02-11,4.766,0.7682067039106144,11.464
2013-02-12,4.659,2.033391061452514,30.327
2013-02-13,4.456,2.061463687150838,30.75
2013-02-14,4.449,2.0269450549450547,30.747
2013-02-15,4.501,1.6709606741573033,24.791
2013-02-16,4.537,2.0959555555555553,31.441
2013-02-17,4.498,2.0445444444444445,30.66
2013-02-18,4.328,1.5429833333333334,23.15
2013-02-19,4.487,2.0900444444444446,31.349
2013-02-20,3.5340000000000003,0.3970277777777778,5.964
2013-02-21,4.65,1.396438202247191,20.716
2013-02-22,4.7860000000000005,1.7645363128491622,26.318
2013-02-23,4.49,2.1000497237569062,31.679
2013-02-24,4.814,2.0131436464088397,30.364
2013-02-25,4.612,2.145137362637363,32.532
2013-02-26,4.575,2.1553516483516484,32.688
2013-02-27,4.523,2.006956043956044,30.432
2013-02-28,4.521,2.128994505494506,32.285
2013-03-01,4.498,2.084770491803279,31.793
2013-03-02,4.3580000000000005,2.119919540229885,30.741
2013-03-03,4.745,1.7837267759562843,27.206
2013-03-04,4.555,2.1086885245901636,32.16
2013-03-05,4.574,1.6974239130434783,26.026
2013-03-06,4.325,1.8635989010989011,28.263
2013-03-07,4.3580000000000005,2.0844239130434783,31.958
2013-03-08,4.651,1.3550491803278688,20.665
2013-03-09,4.2410000000000005,0.9164619565217391,14.052
2013-03-10,4.625,2.1892826086956525,33.57
2013-03-11,4.482,2.139589189189189,32.985
2013-03-12,4.385,2.0935945945945944,32.275
2013-03-13,4.29,2.0652864864864866,31.837
2013-03-14,4.263,2.0548216216216217,31.676
2013-03-15,4.215,2.0349301075268817,31.535
2013-03-16,4.5520000000000005,1.9262634408602153,29.856
2013-03-17,4.533,2.070720430107527,32.092
2013-03-18,4.3420000000000005,2.0242634408602154,31.381
2013-03-19,4.4030000000000005,1.9163172043010752,29.705
2013-03-20,3.986,1.4421344086021506,22.351
2013-03-21,3.3110000000000004,1.086994623655914,16.848
2013-03-22,4.471,2.0395614973262033,31.779
2013-03-23,4.521,2.1012659574468087,32.919
2013-03-24,4.433,2.0897393617021276,32.74
2013-03-25,4.364,2.0551648936170213,32.204
2013-03-26,4.317,1.8756042780748663,29.23
2013-03-27,4.423,1.8019680851063828,28.231
2013-03-28,4.38,1.8057765957446807,28.294
2013-03-29,4.283,2.0040264550264553,31.569
2013-03-30,4.311,1.327915343915344,20.916
2013-03-31,4.275,2.0154315789473687,31.909
2013-04-01,4.367,1.998805263157895,31.645
2013-04-02,4.527,2.109878947368421,33.404
2013-04-03,4.353,2.0399005235602092,32.473
2013-04-04,4.378,1.7341263157894735,27.457
2013-04-05,4.307,1.9826020942408378,31.554
2013-04-06,4.263,2.0161157894736843,31.924
2013-04-07,4.329,2.0133854166666665,32.212
2013-04-08,4.4030000000000005,2.0255572916666664,32.41
2013-04-09,4.791,1.6344345549738222,26.015
2013-04-10,4.5760000000000005,2.076859375,33.23
2013-04-11,4.364,2.0371139896373056,32.766
2013-04-12,4.448,1.1198341968911918,18.011
2013-04-13,4.317,2.007481865284974,32.29
2013-04-14,4.348,2.028316062176166,32.622
2013-04-15,4.357,2.053497409326425,33.021
2013-04-16,4.418,2.051067010309278,33.162
2013-04-17,4.982,1.8938917525773198,30.617
2013-04-18,4.614,2.1411288659793817,34.619
2013-04-19,4.409,2.0823505154639177,33.663
2013-04-20,4.3420000000000005,2.034333333333333,33.06
2013-04-21,4.297,2.0009794871794875,32.517
2013-04-22,4.197,1.9737333333333333,32.071
2013-04-23,4.3260000000000005,1.953569230769231,31.743
2013-04-24,4.22,1.8984358974358975,30.859
2013-04-25,4.425,2.0454484536082473,33.068
2013-04-26,4.25,1.9848979591836735,32.423
2013-04-27,4.195,1.9458163265306123,31.782
2013-04-28,4.166,1.9249030612244897,31.445
2013-04-29,4.172,1.9236173469387754,31.42
2013-04-30,4.099,1.9109540816326531,31.209
2013-05-01,4.208,1.957,32.124
2013-05-02,4.256,1.9329441624365484,31.736
2013-05-03,4.452,1.909378787878788,31.5
2013-05-04,4.363,1.8658010204081632,30.472
2013-05-05,4.413,1.849553299492386,30.361
2013-05-06,4.7170000000000005,1.8046192893401014,29.624
2013-05-07,4.268,1.699979797979798,28.05
2013-05-08,4.471,1.8729444444444445,30.9
2013-05-09,4.266,1.9455303030303028,32.107
2013-05-10,4.466,1.792979797979798,29.588
2013-05-11,4.351,1.9497171717171717,32.165
2013-05-12,4.191,1.8967424242424242,31.287
2013-05-13,4.1930000000000005,1.8672311557788945,30.956
2013-05-14,3.976,1.854015,30.904
2013-05-15,4.043,1.8299444444444444,30.195
2013-05-16,4.056,1.8479447236180904,30.65
2013-05-17,4.132,1.8673888888888888,30.807
2013-05-18,4.112,1.8591758793969848,30.837
2013-05-19,4.131,1.8599899497487435,30.842
2013-05-20,4.129,1.8654120603015074,30.931
2013-05-21,4.086,1.831195,30.523
2013-05-22,4.239,1.8198040201005026,30.18
2013-05-23,4.0,1.82219,30.368
2013-05-24,4.038,1.8171350000000002,30.286
2013-05-25,4.031000000000001,1.818135,30.303
2013-05-26,4.332,1.7869949748743719,29.632
2013-05-27,4.446000000000001,1.6859700000000002,28.103
2013-05-28,3.998,1.724445,28.738
2013-05-29,3.983,1.7914349999999999,29.856
2013-05-30,3.936,1.76535,29.426
2013-05-31,3.908,1.74817,29.137
2013-06-01,3.815,1.7290649999999999,28.811
2013-06-02,3.79,1.7055850000000001,28.421
2013-06-03,3.948,1.767725,29.464
2013-06-04,3.887,1.733525,28.899
2013-06-05,3.953,1.7727449999999998,29.539
2013-06-06,3.89,1.7340600000000002,28.901
2013-06-07,3.758,1.702035,28.363
2013-06-08,3.885,1.740095,29.001
2013-06-09,3.937,1.761625,29.356
2013-06-10,3.793,1.700745,28.35
2013-06-11,3.861,1.720685,28.674
2013-06-12,3.846,1.6668557213930348,27.918
2013-06-13,3.83,1.70835,28.473
2013-06-14,3.727,1.690575,28.172
2013-06-15,4.425,1.374865,22.906
2013-06-16,4.019,1.5300649999999998,25.497
2013-06-17,3.839,1.728425,28.806
2013-06-18,3.886,1.751665,29.194
2013-06-19,3.872,1.7423650000000002,29.038
2013-06-20,3.931,1.764475,29.412
2013-06-21,4.341,1.7283549999999999,28.806
2013-06-22,4.237,1.6973799999999999,28.284
2013-06-23,3.982,1.770185,29.505
2013-06-24,3.959,1.771175879396985,29.366
2013-06-25,3.882,1.748885,29.148
2013-06-26,3.916,1.76102,29.356
2013-06-27,3.874,1.7427587939698495,28.896
2013-06-28,3.781,1.5070804020100501,24.992
2013-06-29,3.989,1.3904040404040405,22.931
2013-06-30,4.0120000000000005,1.6186818181818183,26.713
2013-07-01,3.664,1.4984898989898991,24.722
2013-07-02,3.764,1.731362244897959,28.287
2013-07-03,3.86,1.4829531249999999,23.724
2013-07-04,3.726,1.6917688442211054,28.055
2013-07-05,4.023,0.9461464646464646,15.605
2013-07-06,3.709,1.6384522613065329,27.174
2013-07-07,3.922,1.2921060606060606,21.322
2013-07-08,4.0200000000000005,1.5335948717948718,24.922
2013-07-09,3.94,1.5141479591836735,24.73
2013-07-10,4.05,1.5046919191919192,24.827
2013-07-11,4.125,1.2698629441624365,20.85
2013-07-12,4.368,1.317701030927835,21.307
2013-07-13,3.926,1.748015228426396,28.701
2013-07-14,3.88,1.613316326530612,26.352
2013-07-15,3.81,1.668238578680203,27.385
2013-07-16,4.026,0.8722680412371134,14.103
2013-07-17,4.087,1.6963659793814434,27.429
2013-07-18,4.275,1.4849949494949495,24.501
2013-07-19,4.392,1.0176446700507613,16.709
2013-07-20,4.517,1.3411370558375635,22.019
2013-07-21,4.34,1.5482051282051281,25.161
2013-07-22,4.446000000000001,1.632757731958763,26.4
2013-07-23,3.977,1.7744416243654821,29.133
2013-07-24,3.427,1.0557959183673469,17.241
2013-07-25,4.249,0.8989591836734694,14.681
2013-07-26,4.218,1.2592091836734693,20.564
2013-07-27,4.171,1.388280612244898,22.681
2013-07-28,3.793,1.6155692307692309,26.248
2013-07-29,3.905,1.7914234693877553,29.26
2013-07-30,3.84,1.7747193877551022,28.983
2013-07-31,4.287,1.319419689119171,21.218
2013-08-01,2.753,0.8762525773195876,14.162
2013-08-02,4.348,0.8565721649484537,13.845
2013-08-03,3.85,1.741276923076923,28.301
2013-08-04,3.244,0.740102564102564,12.021
2013-08-05,4.01,1.2634526315789474,20.005
2013-08-06,4.574,1.3421752577319588,21.696
2013-08-07,4.03,1.856020618556701,30.008
2013-08-08,3.956,1.7861179487179488,29.024
2013-08-09,3.913,1.7440205128205128,28.339
2013-08-10,4.436,1.7429793814432988,28.177
2013-08-11,4.114,1.6035154639175258,25.928
2013-08-12,4.13,1.7798247422680413,28.775
2013-08-13,4.041,1.7389742268041237,28.121
2013-08-14,4.214,1.5404020618556702,24.891
2013-08-15,3.841,1.8025876288659795,29.14
2013-08-16,3.957,1.7317061855670104,28.003
2013-08-17,3.826,1.6981546391752578,27.462
2013-08-18,3.902,1.27409793814433,20.599
2013-08-19,3.954,1.441,22.933
2013-08-20,4.154,1.4581510416666665,23.327
2013-08-21,3.984,1.103178947368421,17.47
