measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,poa_irradiance__421,system_id
2019-02-24 06:10:00,,122.0,,,,,10
2019-02-24 06:43:00,,,151.0,,,,10
2019-02-24 07:16:00,,,187.0,,,,10
2019-02-24 07:41:00,,123.0,,,,,10
2019-02-24 08:22:00,,,,611.0,,,10
2019-02-24 09:16:00,,,,,,769.0,10
2019-02-24 09:23:00,,,,,,830.0,10
2019-02-24 09:27:00,,,,,,849.0,10
2019-02-24 09:44:00,,,,916.0,,,10
2019-02-24 09:50:00,,,,1028.0,,,10
2019-02-24 09:58:00,,,,1015.0,,,10
2019-02-24 10:10:00,,,,1091.0,,,10
2019-02-24 10:21:00,,,,,,1052.0,10
2019-02-24 10:23:00,,,,,,1023.0,10
2019-02-24 10:33:00,,,,1150.0,,1078.0,10
2019-02-24 10:34:00,,,,1147.0,,,10
2019-02-24 10:43:00,,,,1171.0,,1115.0,10
2019-02-24 10:44:00,,,,,,1115.0,10
2019-02-24 10:48:00,,,222.0,,,,10
2019-02-24 10:52:00,,,,,,1090.0,10
2019-02-24 11:01:00,,,,1194.0,,,10
2019-02-24 11:03:00,,,,1201.0,,,10
2019-02-24 11:04:00,,125.0,,,,,10
2019-02-24 11:07:00,,,,,,1101.0,10
2019-02-24 11:24:00,,,,,,1091.0,10
2019-02-24 11:25:00,,,,,,1006.0,10
2019-02-24 11:33:00,948.0,,,,,,10
2019-02-24 11:37:00,,,,,,1044.0,10
2019-02-24 11:39:00,,,,1160.0,,,10
2019-02-24 11:41:00,,,,1169.0,,1099.0,10
2019-02-24 11:43:00,,,232.0,,,,10
2019-02-24 11:44:00,,,,1255.0,,,10
2019-02-24 11:46:00,1049.0,,,,,,10
2019-02-24 11:48:00,,,,1274.0,,,10
2019-02-24 11:53:00,,,,,,1229.0,10
2019-02-24 11:54:00,1046.0,,,,,1213.0,10
2019-02-24 11:55:00,,,234.0,1256.0,,,10
2019-02-24 11:56:00,1036.0,,,,,1193.0,10
2019-02-24 12:19:00,,,,1196.0,,,10
2019-02-24 12:21:00,1002.0,,,,,,10
2019-02-24 12:24:00,,,,1186.0,,,10
2019-02-24 12:37:00,1040.0,,,1259.0,,,10
2019-02-24 12:39:00,,,,1270.0,,,10
2019-02-24 12:40:00,,,,,,1197.0,10
2019-02-24 12:43:00,,,,1232.0,,1180.0,10
2019-02-24 12:48:00,,,,1166.0,,,10
2019-02-24 12:50:00,,,,1212.0,,,10
2019-02-24 13:04:00,,,,,,1142.0,10
2019-02-24 13:09:00,,,,,,1119.0,10
2019-02-24 13:10:00,,,,,,1144.0,10
2019-02-24 13:44:00,,,,,,1102.0,10
2019-02-24 13:54:00,,,,1119.0,,,10
2019-02-24 13:57:00,,125.0,,,,,10
2019-02-24 13:58:00,,,,,,1062.0,10
2019-02-24 13:59:00,,,,1107.0,,,10
2019-02-24 14:01:00,,,229.0,,,,10
2019-02-24 14:02:00,,,,,,1049.0,10
2019-02-24 14:06:00,,,,,,1036.0,10
2019-02-24 14:07:00,892.0,,,,,,10
2019-02-24 14:13:00,,125.0,,1067.0,,,10
2019-02-24 14:15:00,,,,1061.0,,1008.0,10
2019-02-24 14:32:00,,125.0,,,21.0,,10
2019-02-24 15:34:00,,,237.0,,,,10
2019-02-24 15:44:00,,,,708.0,,,10
2019-02-24 15:58:00,,,241.0,,,,10
2019-02-24 17:38:00,,122.0,,,,,10
