measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_2__430,poa_irradiance__421,system_id
2019-02-20 01:21:00,,122.0,,,,,10
2019-02-20 02:13:00,,122.0,,,,,10
2019-02-20 02:16:00,,122.0,,,,,10
2019-02-20 03:27:00,,122.0,,,,,10
2019-02-20 03:43:00,,122.0,,,,,10
2019-02-20 06:17:00,,121.0,,,,,10
2019-02-20 06:40:00,,,,,,0.0,10
2019-02-20 07:26:00,,,176.0,,,,10
2019-02-20 07:32:00,,122.0,,,,,10
2019-02-20 07:48:00,227.0,,,,,,10
2019-02-20 08:15:00,133.0,,,,,,10
2019-02-20 08:26:00,,,,,,150.0,10
2019-02-20 08:37:00,,,,,,169.0,10
2019-02-20 08:48:00,,,236.0,,,,10
2019-02-20 09:24:00,427.0,,,,,,10
2019-02-20 09:42:00,,124.0,,,,,10
2019-02-20 09:43:00,,124.0,,,,,10
2019-02-20 09:51:00,,,,1006.0,,,10
2019-02-20 09:56:00,,,,1035.0,,,10
2019-02-20 10:02:00,,,,1058.0,,,10
2019-02-20 10:07:00,,,,1077.0,,,10
2019-02-20 10:18:00,,,,1098.0,,,10
2019-02-20 10:20:00,,,,,,1029.0,10
2019-02-20 10:22:00,,,,,,1036.0,10
2019-02-20 10:26:00,,,,1123.0,,,10
2019-02-20 10:33:00,,,,,,1063.0,10
2019-02-20 10:41:00,,,,,,1080.0,10
2019-02-20 10:46:00,,,,,,1087.0,10
2019-02-20 10:51:00,,,,1183.0,,,10
2019-02-20 10:54:00,,,,1177.0,,1098.0,10
2019-02-20 11:02:00,,,,1212.0,,,10
2019-02-20 11:04:00,,,,,,1115.0,10
2019-02-20 11:11:00,,,,1228.0,,1131.0,10
2019-02-20 11:12:00,,,,1219.0,,,10
2019-02-20 11:16:00,,,,1239.0,,,10
2019-02-20 11:24:00,1031.0,,,1244.0,,1150.0,10
2019-02-20 11:29:00,,,,,,1158.0,10
2019-02-20 11:36:00,1043.0,,,,,,10
2019-02-20 11:37:00,,,,1263.0,,1166.0,10
2019-02-20 11:39:00,1035.0,,,,,,10
2019-02-20 11:40:00,1039.0,,,,,1168.0,10
2019-02-20 11:42:00,1047.0,,,,,,10
2019-02-20 11:45:00,1055.0,,,,,,10
2019-02-20 11:46:00,1055.0,,,1272.0,,,10
2019-02-20 11:51:00,,,,,,1174.0,10
2019-02-20 11:53:00,,124.0,,,,,10
2019-02-20 11:54:00,,,,,,1177.0,10
2019-02-20 11:55:00,,,,,,1176.0,10
2019-02-20 12:01:00,1044.0,,,,,,10
2019-02-20 12:02:00,,,,1263.0,,,10
2019-02-20 12:05:00,,,,1265.0,,,10
2019-02-20 12:06:00,1047.0,,,,,,10
2019-02-20 12:07:00,,124.0,,,,,10
2019-02-20 12:19:00,,,235.0,,,,10
2019-02-20 12:23:00,1051.0,,,,,,10
2019-02-20 12:27:00,1051.0,,,1272.0,,,10
2019-02-20 12:29:00,1052.0,,,1280.0,,,10
2019-02-20 12:31:00,,,,1272.0,,,10
2019-02-20 12:37:00,1048.0,,,,,,10
2019-02-20 12:41:00,,,229.0,,,,10
2019-02-20 12:42:00,1050.0,,,,,,10
2019-02-20 12:44:00,1051.0,,,,,,10
2019-02-20 12:48:00,,,,,,1178.0,10
2019-02-20 12:56:00,1038.0,,,,,,10
2019-02-20 12:57:00,,,,,,1169.0,10
2019-02-20 12:59:00,,,,1253.0,,,10
2019-02-20 13:01:00,1030.0,,,,,,10
2019-02-20 13:02:00,1030.0,,,,,,10
2019-02-20 13:07:00,1027.0,,,,,,10
2019-02-20 13:10:00,,,,,32.0,,10
2019-02-20 13:19:00,,,,,,1140.0,10
2019-02-20 13:24:00,1005.0,,,,,,10
2019-02-20 13:27:00,,125.0,,,,,10
2019-02-20 13:32:00,,125.0,,1200.0,,,10
2019-02-20 13:34:00,,,238.0,,,,10
2019-02-20 13:36:00,,,,,,1105.0,10
2019-02-20 13:37:00,,125.0,,,,,10
2019-02-20 13:44:00,,,,,,1087.0,10
2019-02-20 13:49:00,,,,,,1076.0,10
2019-02-20 13:54:00,,,,,,1063.0,10
2019-02-20 13:55:00,,,,1145.0,,,10
2019-02-20 14:00:00,,,,,,1048.0,10
2019-02-20 14:06:00,,,,,,1032.0,10
2019-02-20 14:11:00,,,,,,1019.0,10
2019-02-20 14:13:00,,,243.0,,,,10
2019-02-20 14:17:00,,,,,,1001.0,10
2019-02-20 14:33:00,,,,,,954.0,10
2019-02-20 15:49:00,,,,,,618.0,10
2019-02-20 16:39:00,,,,,,363.0,10
2019-02-20 17:00:00,137.0,,,,,,10
2019-02-20 17:05:00,,,,,,205.0,10
2019-02-20 17:28:00,,122.0,,,,11.0,10
2019-02-20 18:10:00,,,0.0,,,,10
2019-02-20 19:16:00,,,,0.0,,,10
2019-02-20 20:34:00,,,0.0,,,,10
2019-02-20 22:59:00,,122.0,,,,,10
2019-02-20 23:00:00,,122.0,,,,,10
2019-02-20 23:11:00,,122.0,,,,,10
2019-02-20 23:13:00,,122.0,,,,,10
2019-02-20 23:16:00,,,0.0,,,,10
