,ac_power_inv_16646_daily_max,ac_power_inv_16646_daily_mean,ac_energy_inv_16646_daily_sum
2020-01-01,4.535,1.8571964285714286,17.326
2020-01-02,4.666,2.2763760683760683,22.199
2020-01-03,4.438,2.110663793103448,20.4
2020-01-04,3.2840000000000003,1.2687117117117117,11.744
2020-01-05,4.836,2.080635593220339,20.46
2020-01-06,4.817,1.9222521739130434,18.412
2020-01-07,3.92,1.494607843137255,19.055
2020-01-08,3.067,1.2035086206896553,11.638
2020-01-09,3.733,1.3552608695652173,12.989
2020-01-10,4.901,1.9587881355932204,19.258
2020-01-11,4.486000000000001,2.0191282051282053,19.693
2020-01-12,4.077,1.6147350427350429,15.749
2020-01-13,4.638,2.0217606837606836,19.722
2020-01-14,4.98,1.9831487603305786,19.997
2020-01-15,4.243,1.6230593220338982,15.96
2020-01-16,0.931,0.3135213675213675,3.058
2020-01-17,4.0840000000000005,1.9505086206896554,18.861
2020-01-18,5.221,2.3733589743589745,23.152
2020-01-19,2.059,0.8373451327433629,7.886999999999999
2020-01-20,2.384,1.0123559322033897,9.962
2020-01-21,1.909,0.7536725663716813,7.088
2020-01-22,2.716,0.9603416666666666,9.6
2020-01-23,3.1590000000000003,1.2458983050847456,12.258
2020-01-24,5.274,2.368595041322314,23.89
2020-01-25,3.173,1.377225,13.772
2020-01-26,4.368,1.9820085470085471,19.326
2020-01-27,5.487,2.3218442622950817,23.605
2020-01-28,4.253,1.0610307692307692,11.493
2020-01-29,5.176,2.3853548387096772,24.647
2020-01-30,5.159,2.5863553719008268,26.083
2020-01-31,5.059,2.4744800000000002,25.776
2020-02-01,5.346,2.6686585365853657,27.356
2020-02-02,4.432,1.55305,15.53
2020-02-03,5.8950000000000005,2.881712,30.016
2020-02-04,5.566,2.674063492063492,28.075
2020-02-05,5.447,2.6559603174603175,27.892
2020-02-06,5.497000000000001,2.698716535433071,28.562
2020-02-07,5.485,2.6816850393700786,28.39
2020-02-08,5.38,2.65346511627907,28.526
2020-02-09,5.879,2.7981846153846153,30.314
2020-02-10,5.782,2.8188267716535433,29.838
2020-02-11,5.605,2.74153125,29.238
2020-02-12,5.587999999999999,2.716,28.972
2020-02-13,5.558,2.720430769230769,29.464
2020-02-14,5.681,2.6135606060606063,28.756
2020-02-15,5.573,2.3891603053435118,26.087
2020-02-16,5.812,2.752666666666667,29.594
2020-02-17,5.96,2.910806201550388,31.292
2020-02-18,5.907,2.8688358208955225,32.036
2020-02-19,5.75,2.7979696969696968,30.774
2020-02-20,5.747999999999999,2.7167368421052633,30.107
2020-02-21,5.788,2.8864850746268655,32.231
2020-02-22,5.767,2.844548872180451,31.537
2020-02-23,5.917000000000001,2.7708518518518517,31.179
2020-02-24,6.034,2.8735808823529414,32.571
2020-02-25,5.914,2.888679104477612,32.259
2020-02-26,5.831,2.8088962962962967,31.601
2020-02-27,5.893,2.859725925925926,32.171
2020-02-28,5.001,2.3085661764705883,26.166
2020-02-29,6.0150000000000015,2.863436090225564,31.742
2020-03-01,5.067,2.2073503649635033,25.198
2020-03-02,6.3740000000000006,2.727294964028777,31.588
2020-03-03,5.997000000000001,2.889253623188406,33.238
2020-03-04,5.893,2.8737608695652175,33.044
2020-03-05,5.988,2.8192857142857144,32.896
2020-03-06,6.412000000000001,2.6444244604316545,30.639
2020-03-07,4.42,1.1569712230215827,13.411
2020-03-08,4.258,1.84636690647482,21.38
2020-03-09,6.1610000000000005,2.4267464788732394,28.716
2020-03-10,6.279,2.879146853146853,34.309
2020-03-11,6.081,2.923078014184397,34.35
2020-03-12,6.182,2.936422535211268,34.748
2020-03-13,6.424,2.994202797202797,35.67
2020-03-14,2.444,0.8735785714285714,10.198
2020-03-15,5.486000000000001,1.3885642857142857,16.203
2020-03-16,2.14,0.718875912408759,8.202
2020-03-17,6.567,2.377340277777778,28.53
2020-03-18,4.615,1.3709440559440558,16.34
2020-03-19,6.504,2.795034482758621,33.782
2020-03-20,7.378999999999999,2.8101438356164383,34.191
2020-03-21,6.532,3.017013605442177,36.969
2020-03-22,5.415,2.165986486486487,26.715
2020-03-23,6.743,2.5080872483221475,31.146
2020-03-24,6.581,1.688700680272109,20.69
2020-03-25,6.854,2.5080743243243244,30.94
2020-03-26,7.541,2.7203918918918917,33.559
2020-03-27,7.033,3.2218400000000003,40.274
2020-03-28,3.2,1.4820748299319728,18.165
2020-03-29,6.605,1.8393221476510069,22.848
2020-03-30,6.747999999999999,2.630171052631579,33.327
2020-03-31,6.9110000000000005,3.0337086092715233,38.183
2020-04-01,6.944,3.2027368421052635,40.578
2020-04-02,7.0600000000000005,3.2178039215686276,41.019
2020-04-03,6.797000000000001,3.1583026315789473,40.018
2020-04-04,2.366,0.9460066666666668,11.818
2020-04-05,2.271,0.5850866666666666,7.325
2020-04-06,6.377000000000001,1.9706153846153847,25.612
2020-04-07,7.433,3.084897435897436,40.104
2020-04-08,5.107,1.7092402597402598,21.949
2020-04-09,5.558,2.22478431372549,28.368
2020-04-10,6.886,2.7641538461538464,35.954
2020-04-11,6.981,2.8262802547770702,36.977
2020-04-12,6.723,2.6634012738853503,34.854
2020-04-13,6.91,3.253616352201258,43.107
2020-04-14,6.863,3.19389375,42.572
2020-04-15,7.0200000000000005,2.9615987261146497,38.759
2020-04-16,6.723,3.0992111801242235,41.589
2020-04-17,6.827000000000001,3.0953248407643312,40.503
2020-04-18,6.995,3.28133125,43.754
2020-04-19,7.1930000000000005,3.324509433962264,44.057
2020-04-20,6.337000000000001,2.065226190476191,28.911
2020-04-21,6.83,3.2115652173913043,43.093
2020-04-22,6.724,2.800125,41.068
2020-04-23,6.716,3.1556134969325154,42.867
2020-04-24,6.577000000000001,3.0784146341463416,42.076
2020-04-25,6.279,2.9536728395061727,39.88
2020-04-26,6.67,3.168345679012346,42.774
2020-04-27,6.561,3.0523554216867472,42.235
2020-04-28,6.4590000000000005,3.032615853658537,41.449
2020-04-29,5.922000000000001,2.6399329268292684,36.084
2020-04-30,6.601,3.0528048780487804,41.727
2020-05-01,6.6930000000000005,3.1385748502994013,43.682
2020-05-02,6.697,2.8219212121212123,38.8
2020-05-03,6.87,3.226041420118343,45.422
2020-05-04,6.7700000000000005,3.1361204819277106,43.384
2020-05-05,6.707999999999999,3.1699041916167667,44.123
2020-05-06,6.837000000000001,2.834937823834197,45.597
2020-05-07,6.546,3.078405882352941,43.619
2020-05-08,6.246,2.9305209580838323,40.791
2020-05-09,6.414,2.7327434554973826,43.522
2020-05-10,6.847,2.8968930481283426,45.15
2020-05-11,6.857,2.29837125748503,31.984
2020-05-12,5.875,2.182070588235294,30.907
2020-05-13,5.42,2.2188511904761903,31.069
2020-05-14,5.807,2.3031337209302327,33.022
2020-05-15,7.0120000000000005,3.1461294117647056,44.579
2020-05-18,7.226,2.414458823529412,34.269
2020-05-19,7.184,2.7811379310344826,40.32
2020-05-20,6.996,3.247528735632184,47.093
2020-05-21,6.7650000000000015,3.2651918604651167,46.8
2020-05-22,7.333999999999999,3.495959302325582,50.11
2020-05-23,7.114,3.4842947976878613,50.229
2020-05-24,6.892,3.1860340909090907,46.739
2020-05-25,6.729,2.8573316326530613,46.719
2020-05-26,6.643,3.122125,45.799
2020-05-27,6.721,2.800984771573604,46.01
2020-05-28,6.686,2.8651262626262626,47.296
2020-05-29,6.591,2.5368316326530613,41.47
2020-05-30,7.087999999999999,2.5481511627906976,36.634
2020-05-31,6.3660000000000005,2.5965593220338983,38.304
2020-06-01,6.83,3.495736842105263,49.817
2020-06-02,6.72,3.216327683615819,47.434
2020-06-03,6.531000000000001,3.1803085714285713,46.38
2020-06-04,6.604,3.1972556818181816,46.908
2020-06-05,7.224,2.9676040609137058,48.746
2020-06-06,7.325,3.5017457627118644,51.652
2020-06-07,7.3039999999999985,3.4888932584269665,51.746
2020-06-08,7.251,3.4591396648044697,51.587
2020-06-09,6.8900000000000015,3.2574111111111113,48.864
2020-06-10,6.63,2.6654619289340102,43.794
2020-06-11,6.6400000000000015,2.7128282828282826,45.082
2020-06-12,6.392,1.9120656565656566,32.013
2020-06-13,7.2730000000000015,3.193977653631285,47.634
2020-06-14,6.99,3.3846420454545454,49.635
2020-06-15,5.212999999999999,2.451128491620112,36.567
2020-06-16,7.082000000000001,3.084585858585859,51.225
2020-06-17,7.118,3.4367134831460673,50.978
2020-06-18,6.884,3.2987486033519553,49.218
2020-06-19,6.697,3.172810055865922,47.331
2020-06-20,6.711,2.7838100000000003,46.722
2020-06-21,6.493,2.820545,47.32
2020-06-22,6.597,2.8655909090909093,47.632
2020-06-23,6.5680000000000005,2.82756783919598,46.927
2020-06-24,6.571000000000001,2.830658291457287,46.933
2020-06-25,6.291,3.0613016759776532,45.665
2020-06-26,6.494,2.824161616161616,46.93
2020-06-27,6.928,3.241079096045198,47.815
2020-06-28,7.0760000000000005,3.3837191011235954,50.187
2020-06-29,6.926,3.3338483146067412,49.461
2020-06-30,6.722,3.1860949720670395,47.536
2020-07-01,6.651,3.186039548022599,47.004
2020-07-02,6.686,2.927131313131313,48.377
2020-07-03,6.657,3.2205898876404495,47.768
2020-07-04,6.4670000000000005,2.800180904522613,46.795
2020-07-05,6.422999999999999,2.7681850000000003,46.52
2020-07-06,6.766,2.9293030303030307,48.712
2020-07-07,6.7620000000000005,3.217886363636364,47.204
2020-07-08,6.485,2.7950351758793968,46.68
2020-07-09,6.3420000000000005,3.0384775280898877,45.067
2020-07-10,6.586,2.7916849999999998,46.849
2020-07-11,6.535,3.1126988636363637,45.661
2020-07-12,6.4990000000000006,3.1227500000000004,45.809
2020-07-13,6.698,3.1231412429378533,46.07
2020-07-14,6.59,3.148954285714286,45.92
2020-07-15,6.511,3.0927643678160917,44.847
2020-07-16,6.4990000000000006,3.0856628571428573,44.999
2020-07-17,6.6770000000000005,3.1331371428571426,45.7
2020-07-18,6.402,3.02596,44.135
