measured_on,ac_voltage__426,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-01-11 01:21:00,122.0,,,,10
2019-01-11 01:32:00,122.0,,,,10
2019-01-11 01:33:00,122.0,,,,10
2019-01-11 02:09:00,122.0,,,,10
2019-01-11 03:24:00,,,0.0,,10
2019-01-11 06:03:00,122.0,,,,10
2019-01-11 06:40:00,122.0,,,,10
2019-01-11 07:06:00,,,,0.0,10
2019-01-11 10:41:00,123.0,,,,10
2019-01-11 13:02:00,,211.0,,,10
2019-01-11 14:36:00,122.0,,,,10
2019-01-11 17:43:00,,0.0,,,10
2019-01-11 18:13:00,,,,0.0,10
2019-01-11 18:16:00,,,,0.0,10
2019-01-11 18:24:00,,,,0.0,10
2019-01-11 18:33:00,,,,0.0,10
2019-01-11 18:35:00,,,,0.0,10
2019-01-11 18:40:00,,,,0.0,10
2019-01-11 18:42:00,,,,0.0,10
2019-01-11 18:49:00,,,,0.0,10
2019-01-11 18:50:00,,,,0.0,10
2019-01-11 19:16:00,,,,0.0,10
2019-01-11 19:25:00,123.0,,,,10
2019-01-11 21:39:00,,,,0.0,10
2019-01-11 22:10:00,,,,0.0,10
2019-01-11 22:13:00,,,,0.0,10
2019-01-11 22:18:00,,,,0.0,10
2019-01-11 22:30:00,,0.0,,,10
2019-01-11 22:40:00,,,,0.0,10
2019-01-11 22:42:00,,,,0.0,10
2019-01-11 22:51:00,,,,0.0,10
2019-01-11 23:24:00,,,,0.0,10
