measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_2__430,poa_irradiance__421,system_id
2019-02-13 02:01:00,,121.0,,,,,,10
2019-02-13 03:37:00,,121.0,,,,,,10
2019-02-13 03:40:00,,121.0,,,,,,10
2019-02-13 04:02:00,,122.0,,,,,,10
2019-02-13 04:12:00,,122.0,,,,,,10
2019-02-13 06:59:00,,,,,,,0.0,10
2019-02-13 08:36:00,,,244.0,,,,,10
2019-02-13 08:40:00,,,247.0,,,,,10
2019-02-13 09:00:00,,,,,,,688.0,10
2019-02-13 09:25:00,,,,,,,788.0,10
2019-02-13 09:32:00,,,,,,,836.0,10
2019-02-13 09:48:00,,,,1021.0,,,,10
2019-02-13 09:51:00,,,,1042.0,,,,10
2019-02-13 09:53:00,852.0,,,,,,,10
2019-02-13 09:56:00,,,,1035.0,,,,10
2019-02-13 10:01:00,,124.0,,,,,,10
2019-02-13 10:07:00,,,243.0,,,,,10
2019-02-13 10:09:00,427.0,,,,,,,10
2019-02-13 10:15:00,,,254.0,,,,,10
2019-02-13 10:18:00,,,,1021.0,,,,10
2019-02-13 10:20:00,,,,1048.0,,,,10
2019-02-13 10:32:00,,,233.0,,,,,10
2019-02-13 10:34:00,,,,1087.0,,,,10
2019-02-13 10:39:00,,,,,,,1004.0,10
2019-02-13 10:45:00,,,,1108.0,,,,10
2019-02-13 10:53:00,,,,1130.0,,,,10
2019-02-13 10:56:00,,,,1043.0,,,,10
2019-02-13 10:57:00,,124.0,,,,,,10
2019-02-13 11:05:00,,,,1057.0,,,,10
2019-02-13 11:12:00,,,,940.0,,,,10
2019-02-13 11:28:00,,,,,,,879.0,10
2019-02-13 11:33:00,,,,,,,1062.0,10
2019-02-13 11:36:00,,,,962.0,,,,10
2019-02-13 11:37:00,,,,979.0,,,,10
2019-02-13 11:43:00,,,,1038.0,,,,10
2019-02-13 11:53:00,,,,,19.0,,,10
2019-02-13 12:03:00,,,,,,,1106.0,10
2019-02-13 12:10:00,,,,1163.0,,,,10
2019-02-13 12:11:00,,,,,,,1101.0,10
2019-02-13 12:15:00,934.0,,,,,,,10
2019-02-13 12:18:00,,,224.0,,,,,10
2019-02-13 12:22:00,,,,,,,1076.0,10
2019-02-13 12:33:00,,,,1173.0,,,,10
2019-02-13 12:38:00,,,,1178.0,,,,10
2019-02-13 12:58:00,,,,,,,582.0,10
2019-02-13 13:40:00,,,232.0,,,25.0,,10
2019-02-13 15:17:00,,,,616.0,,,,10
2019-02-13 15:22:00,,123.0,,,,,,10
2019-02-13 16:03:00,,122.0,,,,,,10
2019-02-13 16:07:00,,,198.0,,,,,10
2019-02-13 16:43:00,,122.0,,,,,,10
2019-02-13 16:52:00,,122.0,,,,,,10
2019-02-13 17:23:00,,122.0,,,,,,10
2019-02-13 17:25:00,,122.0,,,,,,10
2019-02-13 19:22:00,,122.0,,,,,,10
2019-02-13 19:33:00,,,0.0,,,,,10
2019-02-13 21:28:00,,122.0,,,,,,10
2019-02-13 21:35:00,,,,0.0,,,,10
2019-02-13 23:40:00,,,0.0,,,,,10
