measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2019-02-27 00:53:00,,122.0,,,,,,10
2019-02-27 03:49:00,,,,0.0,,,,10
2019-02-27 03:57:00,,,,,,,0.0,10
2019-02-27 04:01:00,,,,,,,0.0,10
2019-02-27 04:07:00,,,,,,,0.0,10
2019-02-27 04:15:00,,,,,,,0.0,10
2019-02-27 04:30:00,,,,,,,0.0,10
2019-02-27 04:33:00,,,,,,,0.0,10
2019-02-27 05:08:00,,,,,,,0.0,10
2019-02-27 05:17:00,,,,,,,0.0,10
2019-02-27 05:44:00,,,,,,,0.0,10
2019-02-27 05:47:00,,,,,,,0.0,10
2019-02-27 05:56:00,,,,,,,0.0,10
2019-02-27 07:49:00,,,157.0,,,,,10
2019-02-27 09:08:00,,,219.0,,,,,10
2019-02-27 09:26:00,,122.0,,,,,,10
2019-02-27 09:28:00,,122.0,,,,,,10
2019-02-27 09:29:00,,122.0,,,,,,10
2019-02-27 09:36:00,,122.0,,,,,,10
2019-02-27 10:30:00,,,,,3.0,,,10
2019-02-27 10:42:00,,123.0,,,,,,10
2019-02-27 11:10:00,1106.0,,,,,,,10
2019-02-27 11:12:00,1115.0,,,,,,,10
2019-02-27 11:15:00,,,,1056.0,,,,10
2019-02-27 11:16:00,,,223.0,,,,,10
2019-02-27 11:17:00,1105.0,,,,,,,10
2019-02-27 11:19:00,,,,1289.0,,,,10
2019-02-27 11:25:00,1068.0,,,,,,,10
2019-02-27 11:29:00,,,,1228.0,,,,10
2019-02-27 11:31:00,,,,1210.0,,,,10
2019-02-27 11:32:00,,,,,,,1039.0,10
2019-02-27 11:40:00,,125.0,,1197.0,,,,10
2019-02-27 11:41:00,1003.0,,,,,,1082.0,10
2019-02-27 11:51:00,,,,1217.0,,,,10
2019-02-27 11:54:00,1013.0,,,,,,,10
2019-02-27 11:56:00,,,,,,40.0,,10
2019-02-27 11:57:00,,125.0,,,,,,10
2019-02-27 12:04:00,1028.0,,,,,,,10
2019-02-27 12:09:00,,,,1167.0,,,1123.0,10
2019-02-27 12:12:00,,,,1181.0,,,,10
2019-02-27 12:13:00,,,,1109.0,,,,10
2019-02-27 12:27:00,,,,,,,1198.0,10
2019-02-27 12:29:00,,,,1220.0,,,,10
2019-02-27 12:30:00,,,,1222.0,,,,10
2019-02-27 12:33:00,,,,1203.0,,,,10
2019-02-27 12:37:00,1003.0,,,,,,,10
2019-02-27 12:41:00,1001.0,,,,,,,10
2019-02-27 12:49:00,,,,1198.0,,,,10
2019-02-27 12:58:00,,125.0,,,,,,10
2019-02-27 13:14:00,,125.0,,,,,,10
2019-02-27 13:15:00,,,,,,,1006.0,10
2019-02-27 13:20:00,,,,1119.0,,,,10
2019-02-27 13:21:00,,,,1051.0,,,,10
2019-02-27 13:28:00,,125.0,,,,,,10
2019-02-27 13:29:00,,,,,,,1016.0,10
2019-02-27 13:33:00,1000.0,,,,,,,10
2019-02-27 13:35:00,1027.0,,,,,,,10
2019-02-27 13:36:00,,,,,,,1164.0,10
2019-02-27 13:41:00,,,,,,,1106.0,10
2019-02-27 13:43:00,641.0,,,,,,,10
2019-02-27 13:54:00,,,227.0,,,,,10
2019-02-27 14:02:00,,,237.0,,,,,10
2019-02-27 14:07:00,,,,1024.0,,,,10
2019-02-27 14:12:00,,125.0,,,,,,10
2019-02-27 14:22:00,,124.0,,,,,,10
2019-02-27 14:23:00,,,,,,,896.0,10
2019-02-27 14:45:00,,,,,,15.0,,10
2019-02-27 15:06:00,,123.0,,,,,,10
2019-02-27 15:17:00,,,,154.0,,,,10
2019-02-27 16:21:00,,,212.0,,,,,10
2019-02-27 16:46:00,,,,,,,74.0,10
2019-02-27 17:30:00,,,191.0,,,,,10
2019-02-27 17:49:00,,,64.0,,,,,10
2019-02-27 18:22:00,,,,0.0,,,,10
2019-02-27 19:35:00,,122.0,,,,,,10
2019-02-27 19:38:00,,,0.0,,,,,10
2019-02-27 19:45:00,,122.0,,,,,,10
2019-02-27 19:49:00,,,0.0,,,,,10
2019-02-27 19:54:00,,122.0,,,,,,10
2019-02-27 22:31:00,,,0.0,,,,,10
