,ac_power_inv_17343_daily_max,ac_power_inv_17343_daily_mean,ac_energy_inv_17343_daily_sum
2025-01-01,4.744,2.4637142857142855,25.869
2025-01-02,4.772,2.4826341463414634,25.447
2025-01-03,4.716,2.1697560975609758,22.24
2025-01-04,4.636,2.304,23.616
2025-01-05,4.54,2.440390243902439,25.014
2025-01-06,4.724,2.4304761904761905,25.52
2025-01-07,4.684,2.4084761904761907,25.289
2025-01-08,4.952,2.404857142857143,25.251
2025-01-09,4.788,2.466857142857143,25.902
2025-01-10,4.812,2.4302325581395348,26.125
2025-01-11,4.664,2.444095238095238,25.663
2025-01-12,4.88,2.4729302325581397,26.584
2025-01-13,4.8,2.538095238095238,26.65
2025-01-14,4.936,2.678666666666667,28.126
2025-01-15,4.908,2.653142857142857,27.858
2025-01-16,3.788,1.5646511627906976,16.82
2025-01-17,5.636,2.2824186046511628,24.536
2025-01-18,4.812,2.4748837209302326,26.605
2025-01-19,4.796,2.1106046511627907,22.689
2025-01-20,4.716,2.414139534883721,25.952
2025-01-21,5.256,2.8008571428571427,29.409
2025-01-22,5.016,2.3513488372093025,25.277
2025-01-23,5.1000000000000005,2.7490232558139533,29.552
2025-01-24,5.248,2.5308837209302326,27.207
2025-01-25,5.0520000000000005,1.9316279069767441,20.765
2025-01-26,3.972,1.2716190476190476,13.352
2025-01-27,6.1160000000000005,1.908909090909091,20.998
2025-01-28,5.236,2.4696363636363636,27.166
2025-01-29,5.756,2.415,26.565
2025-01-30,5.048,1.528,16.808
2025-01-31,4.908,2.5848181818181817,28.433
2025-02-01,5.0520000000000005,2.614909090909091,28.764
2025-02-02,5.112,2.6362727272727273,28.999
2025-02-03,5.176,2.6974883720930234,28.998
2025-02-04,3.92,1.1831627906976743,12.719
2025-02-05,5.096,2.480272727272727,27.283
2025-02-06,3.412,1.1796190476190476,12.386
2025-02-07,1.284,0.5561951219512195,5.701
2025-02-08,5.5,2.2316444444444445,25.106
2025-02-09,4.9,2.061272727272727,22.674
2025-02-10,5.5680000000000005,2.169090909090909,23.86
2025-02-11,4.124,1.5855454545454544,17.441
2025-02-12,1.928,0.8051428571428572,8.454
2025-02-13,2.384,0.5064186046511628,5.444
2025-02-14,3.052,1.26,5.04
