measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2022-11-27 00:43:00,-2.0868,-74.65099999999998,-6.312,0.3314199999999999,10.919,16.549,-0.64832,-17.411,11.281,,-8.5212,10
2022-11-27 00:44:00,-2.0887,-74.61199999999998,-6.379,0.3327999999999999,10.726,16.476,-0.6459399999999998,-17.59,11.362,,-8.6487,10
2022-11-27 00:45:00,-2.1096,-75.84099999999998,-6.2983,0.3366,10.74,16.475,-0.6696199999999999,-16.506,11.061,,-8.5712,10
2022-11-27 00:46:00,-2.0881,-74.804,-6.2847,0.33904,10.785,16.473,-0.65376,-17.11,11.174,,-8.3114,10
2022-11-27 00:47:00,-2.0729,-74.03,-6.3257,0.3391199999999999,10.494,16.396,-0.64185,-17.215,11.039,,-8.4397,10
2022-11-27 00:48:00,-2.0643,-73.80299999999998,-6.3926,0.33456,10.604,16.389,-0.64738,-17.388,11.257,,-8.388,10
2022-11-27 00:49:00,-2.0758,-74.266,-6.2587,0.32118,10.735,16.466,-0.6443299999999998,-17.15,11.041,,-7.998,10
2022-11-27 00:50:00,-2.0963,-75.116,-6.2359,0.3109,10.786,16.37,-0.65454,-16.853,11.025,,-8.461299999999998,10
2022-11-27 00:51:00,-2.0845,-74.759,-6.3124,0.32228,10.784,16.374,-0.64421,-17.466,11.262,,-7.997,10
2022-11-27 00:52:00,-2.0828,-74.336,-6.3154,0.32063,10.763,16.42,-0.64543,-17.405,11.231,,-8.357699999999998,10
2022-11-27 00:53:00,-2.1035,-75.513,-6.2994,0.30617,10.7,16.318,-0.6676199999999999,-16.682,11.14,,-7.944899999999999,10
2022-11-27 00:54:00,-2.1228,-76.42,-6.3448,0.30237,10.765,16.361,-0.66583,-17.019,11.328,,-8.2545,10
2022-11-27 00:55:00,-2.1132,-76.066,-6.3131,0.3184299999999999,10.536,16.338,-0.6674499999999999,-16.717,11.167,,-8.433799999999998,10
2022-11-27 00:56:00,-2.1011,-75.449,-6.1554,0.3152599999999999,10.74,16.275,-0.65685,-16.611,10.914,,-8.4336,10
2022-11-27 00:57:00,-2.1068,-75.568,-6.3131,0.3152599999999999,10.784,16.36,-0.6573799999999999,-17.064,11.223,,-8.2531,10
2022-11-27 00:58:00,-2.0843,-74.364,-6.221,0.31816,10.89,16.36,-0.6443299999999998,-17.007,10.959,,-8.331699999999998,10
2022-11-27 00:59:00,-2.101,-75.092,-6.1989,0.3132499999999999,10.403,16.257,-0.64454,-17.171,11.074,,-8.331799999999998,10
2022-11-27 01:00:00,-2.0849,-74.54099999999998,-6.2427,0.32388,10.795,16.279,-0.6413299999999998,-17.447,11.192,,-8.2544,10
2022-11-27 01:01:00,-2.1198,-76.117,-6.3151,0.3310799999999999,10.527,16.189,-0.66395,-17.163,11.404,,-8.487199999999998,10
2022-11-27 01:02:00,-2.1055,-75.58499999999998,-6.3285,0.3333599999999999,10.873,16.251,-0.65751,-17.015,11.192,,-8.384,10
2022-11-27 01:03:00,-2.0424,-72.821,-6.2122,0.3743099999999999,10.369,16.214,-0.63275,-17.024,10.781,,-8.178,10
2022-11-27 01:04:00,-2.0409,-72.512,-6.3334,0.34848,10.414,16.27,-0.6325199999999999,-17.423,11.017,,-8.104699999999998,10
2022-11-27 01:05:00,-2.0983,-75.30899999999998,-6.2004,0.3591099999999999,10.723,16.219,-0.6546899999999999,-16.641,10.898,,-8.2079,10
2022-11-27 01:06:00,-2.0554,-73.20399999999998,-6.249,0.3432799999999999,10.872,16.215,-0.62958,-17.637,11.106,,-8.0273,10
2022-11-27 01:07:00,-2.0898,-74.935,-6.2755,0.3392999999999999,10.63,16.267,-0.65463,-16.911,11.067,,-8.104599999999998,10
2022-11-27 01:08:00,-2.1146,-76.137,-6.2813,0.3468899999999999,10.661,16.226,-0.6636499999999999,-16.797,11.145,,-8.4401,10
2022-11-27 01:09:00,-2.0918,-74.842,-6.2574,0.3399099999999999,10.709,16.24,-0.6444199999999999,-17.396,11.207,,-8.1303,10
2022-11-27 01:10:00,-2.1001,-75.21899999999998,-6.2534,0.35132,10.946,16.213,-0.65937,-16.78,11.069,,-8.0526,10
2022-11-27 01:11:00,-2.0689,-73.815,-6.1252,0.35664,10.489,16.177,-0.63444,-16.969,10.758,,-8.3624,10
2022-11-27 01:12:00,-2.0794,-74.37699999999998,-6.0687,0.3547199999999999,10.579,16.243,-0.64049,-16.831,10.773,,-8.2328,10
2022-11-27 01:13:00,-2.0728,-74.111,-6.1923,0.33911,10.447,16.202,-0.63314,-17.429,11.023,,-8.257099999999998,10
2022-11-27 01:14:00,-2.0383,-72.44499999999998,-6.1887,0.3588399999999999,10.945,16.217,-0.62687,-17.29,10.839,,-8.0507,10
2022-11-27 01:15:00,-2.0885,-74.72199999999998,-6.3622,0.36723,10.536,16.169,-0.6473499999999999,-17.588,11.39,,-8.3338,10
2022-11-27 01:16:00,-2.0734,-74.134,-6.4154,0.35215,10.528,16.17,-0.6487399999999999,-17.436,11.312,,-8.4099,10
2022-11-27 01:17:00,-2.0731,-73.884,-6.3469,0.3536699999999999,10.598,16.211,-0.6388399999999999,-17.693,11.305,,-8.2551,10
2022-11-27 01:18:00,-2.0459,-72.643,-6.1017,0.37014,10.782,16.257,-0.6235199999999999,-17.119,10.666,,-8.253299999999998,10
