measured_on,ac_power__423,ac_voltage__426,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2018-12-27 00:32:00,,122.0,,,,,10
2018-12-27 00:42:00,,122.0,,0.0,,,10
2018-12-27 01:55:00,,,,0.0,,,10
2018-12-27 03:46:00,,122.0,,,,,10
2018-12-27 04:14:00,,,,0.0,,,10
2018-12-27 06:20:00,,,,0.0,,,10
2018-12-27 07:10:00,,,,,,0.0,10
2018-12-27 07:32:00,,121.0,,,,,10
2018-12-27 07:45:00,,,,31.0,,,10
2018-12-27 08:11:00,,,,107.0,,,10
2018-12-27 09:19:00,,,,,447.0,,10
2018-12-27 09:51:00,754.0,,,,,,10
2018-12-27 10:51:00,,,,,,865.0,10
2018-12-27 10:54:00,,122.0,,,,,10
2018-12-27 11:08:00,,,,,1326.0,,10
2018-12-27 11:11:00,,,,,,1133.0,10
2018-12-27 11:13:00,,,,,1174.0,,10
2018-12-27 11:23:00,,,,,,1071.0,10
2018-12-27 11:25:00,,,,,1145.0,,10
2018-12-27 11:26:00,,,,,,1045.0,10
2018-12-27 11:32:00,,,,,1060.0,,10
2018-12-27 11:34:00,,,,,,1056.0,10
2018-12-27 11:35:00,,,,,,1083.0,10
2018-12-27 11:37:00,,,,,,1089.0,10
2018-12-27 11:49:00,305.0,,,,,,10
2018-12-27 12:03:00,,,,,,190.0,10
2018-12-27 12:20:00,,123.0,,232.0,,,10
2018-12-27 12:44:00,,,,240.0,,,10
2018-12-27 13:03:00,,123.0,,,,,10
2018-12-27 13:49:00,,,,,125.0,,10
2018-12-27 15:13:00,,122.0,,,,,10
2018-12-27 15:42:00,,,0.0,,,,10
2018-12-27 15:51:00,,122.0,,,,,10
2018-12-27 15:58:00,,122.0,,,,,10
2018-12-27 16:05:00,,122.0,,,,,10
2018-12-27 16:49:00,,,,,,0.0,10
2018-12-27 16:50:00,,,,,,0.0,10
2018-12-27 16:51:00,,,,10.0,,0.0,10
2018-12-27 17:46:00,,122.0,,,,,10
2018-12-27 18:33:00,,122.0,,,,,10
2018-12-27 18:41:00,,122.0,,,,,10
2018-12-27 19:04:00,,,,0.0,,,10
2018-12-27 21:11:00,,122.0,,,,,10
2018-12-27 21:55:00,,,,0.0,,,10
2018-12-27 22:14:00,,121.0,,,,,10
