measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2022-11-25 00:00:00,0.46561,-73.875,-6.2714,0.5265999999999998,10.53,11.06,-0.65609,-16.625,10.908,2.0286,-10.946,10
2022-11-25 00:01:00,-0.34792,-74.027,-6.3122,0.40198,10.507,11.081,-0.6505499999999999,-17.049,11.094,,-10.868,10
2022-11-25 00:02:00,-0.85379,-74.193,-6.0123,0.2775599999999999,10.738,11.198,-0.6431799999999999,-16.581,10.658,,-10.923,10
2022-11-25 00:03:00,-0.15786,-73.748,-6.0379,0.2439099999999999,10.771,11.143,-0.6396899999999999,-16.583,10.597,,-10.818,10
2022-11-25 00:04:00,1.3919,-70.25,-5.9277,0.24998,10.568,10.55,-0.6110999999999999,-16.332,10.046,,-10.218,10
2022-11-25 00:05:00,-1.6702,-72.667,-6.4016,0.1864,10.422,11.062,-0.6394499999999999,-17.494,11.182,2.3514,-10.837,10
2022-11-25 00:06:00,-0.61758,-74.482,-6.089,0.17265,10.574,11.218,-0.64719,-16.726,10.826,2.4797,-10.941,10
2022-11-25 00:07:00,-0.4316599999999999,-89.138,-6.1378,0.11889,10.485,11.083,-0.7608599999999999,-16.726,12.716,,-10.838,10
2022-11-25 00:08:00,0.36263,-67.203,-6.0603,0.08551,10.402,10.731,-0.59813,-16.399,9.776,,-10.761,10
2022-11-25 00:09:00,-0.0043099999999999,-74.26,-6.2214,0.07939,10.785,11.121,-0.65447,-16.695,10.927,2.1945,-11.15,10
2022-11-25 00:10:00,-0.8777899999999998,-75.278,-6.2333,0.02571,10.537,11.506,-0.6566199999999999,-16.885,11.075,,-11.743,10
2022-11-25 00:11:00,-0.93941,-70.521,-6.2004,0.0949399999999999,10.691,10.987,-0.61755,-17.116,10.613,,-10.88,10
2022-11-25 00:12:00,-1.2626,-58.927,-5.2318,0.04139,10.818,11.319,-0.5229599999999999,-14.506,8.9792,,-11.061,10
2022-11-25 00:13:00,-2.0974,-75.153,-6.2368,0.05999,10.954,11.759,-0.6432499999999999,-17.379,11.181,,-11.537,10
2022-11-25 00:14:00,-1.879,-73.12099999999998,-6.2793,0.1765799999999999,10.836,11.379,-0.63532,-17.382,11.03,,-10.584,10
2022-11-25 00:15:00,-0.77161,-71.711,-6.2337,0.1980399999999999,10.499,11.005,-0.62745,-17.325,10.864,2.0891,-10.376,10
2022-11-25 00:16:00,0.69806,-72.318,-6.0364,0.2089699999999999,10.656,10.773,-0.6378099999999999,-16.399,10.452,1.8122,-10.319,10
