measured_on,ac_power__423,ac_voltage__426,dc_pos_voltage__424,dc_power__422,module_temp_2__430,poa_irradiance__421,system_id
2018-12-11 00:02:00,,121.0,,,,,10
2018-12-11 02:24:00,,,0.0,,,,10
2018-12-11 03:29:00,,121.0,,,,,10
2018-12-11 03:43:00,,121.0,,,,,10
2018-12-11 04:12:00,,,,,,0.0,10
2018-12-11 04:49:00,,122.0,,,,,10
2018-12-11 06:46:00,,122.0,,,,,10
2018-12-11 06:47:00,,122.0,,,,,10
2018-12-11 06:49:00,,122.0,,,,,10
2018-12-11 08:50:00,,,,,,582.0,10
2018-12-11 09:38:00,,,,838.0,,,10
2018-12-11 10:19:00,,,231.0,,,,10
2018-12-11 10:22:00,,,,,,872.0,10
2018-12-11 10:30:00,,,224.0,,,,10
2018-12-11 10:39:00,,124.0,,,,,10
2018-12-11 10:45:00,,,230.0,,,,10
2018-12-11 10:46:00,,,,1003.0,,,10
2018-12-11 10:48:00,,,,1011.0,,,10
2018-12-11 10:59:00,,,,1035.0,,,10
2018-12-11 11:13:00,,,,,,972.0,10
2018-12-11 11:22:00,,,,1060.0,,,10
2018-12-11 11:24:00,875.0,,,,,,10
2018-12-11 11:27:00,,124.0,,,,,10
2018-12-11 11:30:00,,,233.0,,,,10
2018-12-11 11:34:00,,,,1071.0,,,10
2018-12-11 11:36:00,,124.0,,,,,10
2018-12-11 11:46:00,871.0,,,,,,10
2018-12-11 11:51:00,,,,1068.0,,,10
2018-12-11 11:54:00,,,,,,1001.0,10
2018-12-11 11:59:00,,,,1077.0,,,10
2018-12-11 12:07:00,,,,1073.0,,,10
2018-12-11 12:21:00,,,,1064.0,,,10
2018-12-11 12:22:00,,,,1066.0,,,10
2018-12-11 12:24:00,,124.0,,,,,10
2018-12-11 12:39:00,,,,1061.0,,,10
2018-12-11 12:40:00,,,,1061.0,,,10
2018-12-11 12:43:00,,,,1058.0,,,10
2018-12-11 12:44:00,870.0,,,,,,10
2018-12-11 12:54:00,,,,1040.0,,,10
2018-12-11 12:55:00,,,,1048.0,,,10
2018-12-11 12:58:00,,124.0,,,,,10
2018-12-11 13:01:00,,124.0,,,,,10
2018-12-11 13:08:00,844.0,,,1027.0,,,10
2018-12-11 13:20:00,823.0,,,,,,10
2018-12-11 14:16:00,699.0,,,,,,10
2018-12-11 14:23:00,,,,,33.0,,10
2018-12-11 14:53:00,,,,698.0,,,10
2018-12-11 15:28:00,,,236.0,,,,10
2018-12-11 15:41:00,,,,,,387.0,10
2018-12-11 16:00:00,,122.0,,,,,10
2018-12-11 16:22:00,,122.0,,,,,10
2018-12-11 16:30:00,,122.0,,,,,10
2018-12-11 18:54:00,,122.0,,,,,10
2018-12-11 19:10:00,,122.0,,,,,10
2018-12-11 22:40:00,,122.0,,,,,10
2018-12-11 22:41:00,,122.0,,,,,10
