measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2016-03-03 00:00:00,1.4118,-1.1307,122.77,6.8761,13.456,8.096,-0.0349399999999999,0.71743,-0.02867,6.3088,4.9578,4.9543,5.1852,-2.697,10
2016-03-03 00:01:00,1.4126,-1.2083,122.75,6.73,13.455,8.0907,-0.03146,-0.36757,0.01443,6.2965,4.7906,4.9103,5.1067,-2.697,10
2016-03-03 00:02:00,1.4121,-1.1085,122.76,6.6609,13.455,8.074899999999998,-0.02542,0.527,-0.01477,6.2813,4.9374,4.9754,5.1359,-2.697,10
2016-03-03 00:03:00,1.4126,-1.1972,122.75,6.6626,13.455,8.0539,-0.02853,-0.7439999999999999,0.01974,6.2589,4.8444,4.9212,5.1401,-2.697,10
2016-03-03 00:04:00,1.4132,-1.1529,122.76,6.6003,13.457,8.0539,-0.0201199999999999,-0.58457,0.01227,6.2341,4.8005,4.8716,5.0406,-2.6971,10
2016-03-03 00:05:00,1.4135,-1.164,122.79,6.5618,13.456,8.045199999999998,-0.0276199999999999,0.48714,-0.01208,6.224,4.9128,4.8023,4.9368,-2.6971,10
2016-03-03 00:06:00,1.4118,-1.164,122.78,6.5025,13.456,8.032899999999998,-0.0276199999999999,0.47386,-0.01563,6.1885,4.8097,4.7646,4.8583,-2.6971,10
2016-03-03 00:07:00,1.4126,-1.1085,122.78,6.4085,13.458,8.020699999999998,-0.02853,-0.32771,0.00966,6.1376,4.7037,4.6777,4.727,-2.6971,10
2016-03-03 00:08:00,1.4129,-1.1418,122.77,6.3845,13.456,8.0067,-0.0318299999999999,0.4827099999999999,-0.01983,6.1018,4.7326,4.6854,4.7608,-2.6971,10
2016-03-03 00:09:00,1.4126,-1.1529,122.79,6.427,13.456,7.9909,-0.0263399999999999,-0.13729,-0.00048,6.093,4.5886,4.6266,4.714,-2.6971,10
2016-03-03 00:10:00,1.4115,-1.1196,122.81,6.4638,13.457,7.9892,-0.02359,-0.95214,0.02271,6.08,4.6305,4.6411,4.7059,-2.6971,10
2016-03-03 00:11:00,1.4129,-1.2305,122.75,6.5721,13.46,7.9699,-0.0274399999999999,-0.3764299999999999,0.01016,6.0972,4.7872,4.6907,4.7654,-2.7252,10
2016-03-03 00:12:00,1.4124,-1.1418,122.84,6.6346,13.458,7.9699,-0.0202999999999999,-0.07971,-0.0004,6.1211,4.7027,4.714,4.8823,-2.6971,10
2016-03-03 00:13:00,1.4113,-1.0974,122.8,6.6222,13.46,7.964699999999999,-0.02927,-1.0186,0.0279,6.1123,4.7059,4.651,4.8264,-2.7252,10
2016-03-03 00:14:00,1.4137,-1.1972,122.81,6.6038,13.458,7.949,-0.02433,0.32328,-0.00734,6.0825,4.7457,4.6386,4.8317,-2.7252,10
2016-03-03 00:15:00,1.4129,-1.1307,122.8,6.647,13.46,7.9315,-0.03219,0.2081399999999999,-0.00991,6.079,4.7626,4.6922,4.8979,-2.6971,10
2016-03-03 00:16:00,1.4115,-1.0864,122.87,6.6348,13.46,7.928,-0.03109,0.8679999999999999,-0.0304199999999999,6.0776,4.6401,4.695,4.9613,-2.7252,10
2016-03-03 00:17:00,1.4132,-1.1085,122.87,6.6749,13.459,7.913999999999999,-0.0261599999999999,0.05314,-0.00338,6.0818,4.7289,4.6803,4.9183,-2.6971,10
2016-03-03 00:18:00,1.4121,-1.0974,122.89,6.7832,13.462,7.896499999999999,-0.02927,0.07086,0.00091,6.1247,4.7831,4.8197,5.0845,-2.6971,10
2016-03-03 00:19:00,1.4124,-1.1085,122.91,6.7999,13.461,7.886,-0.02433,0.16829,-0.00662,6.1669,4.8719,4.8726,5.1373,-2.6971,10
2016-03-03 00:20:00,1.4129,-1.1418,122.9,6.7702,13.462,7.878999999999999,-0.02469,-0.248,7e-05,6.1781,4.9247,4.8824,5.1655,-2.6971,10
2016-03-03 00:21:00,1.4118,-1.1085,122.91,6.7388,13.461,7.865,-0.02049,-0.155,0.0058999999999999,6.1634,4.8465,4.9057,5.1908,-2.6972,10
2016-03-03 00:22:00,1.4115,-1.1085,122.9,6.7594,13.461,7.865,-0.0267,0.14171,-0.00679,6.1907,4.888,4.9141,5.2091,-2.6972,10
2016-03-03 00:23:00,1.4129,-1.1085,122.91,6.7346,13.461,7.844,-0.0277999999999999,-0.26571,0.00643,6.1746,4.8656,4.8374,5.0782,-2.6972,10
2016-03-03 00:24:00,1.4126,-1.164,122.89,6.614,13.461,7.8388,-0.02817,0.02214,0.00169,6.1399,4.7765,4.8272,5.0265,-2.6972,10
2016-03-03 00:25:00,1.4121,-1.0864,122.93,6.5583,13.461,7.823,-0.02707,-0.3365699999999999,0.0130899999999999,6.1164,4.7297,4.7452,4.917,-2.6972,10
2016-03-03 00:26:00,1.4118,-1.0864,122.91,6.5607,13.461,7.819499999999999,-0.0263399999999999,-0.13729,-0.0022799999999999,6.0897,4.6804,4.6747,4.8213,-2.6972,10
2016-03-03 00:27:00,1.4124,-1.1196,122.92,6.5326,13.462,7.801999999999999,-0.03073,0.23471,-0.00642,6.0426,4.6127,4.6444,4.8008,-2.6972,10
2016-03-03 00:28:00,1.4126,-1.1196,122.98,6.5166,13.461,7.801999999999999,-0.0276199999999999,-0.16386,0.0060499999999999,6.0686,4.6803,4.712,4.8585,-2.7534,10
2016-03-03 00:29:00,1.4118,-1.1529,122.94,6.592,13.462,7.788,-0.02908,0.04429,0.00189,6.0707,4.6437,4.6606,4.8952,-2.7253,10
2016-03-03 00:30:00,1.4121,-1.0864,122.97,6.6586,13.463,7.7811,-0.0239599999999999,-0.124,0.00219,6.0581,4.5705,4.5909,4.8509,-2.7253,10
2016-03-03 00:31:00,1.4118,-1.1418,122.95,6.6458,13.462,7.7723,-0.0287199999999999,-0.2922799999999999,0.01108,6.0275,4.4362,4.4729,4.7005,-2.7534,10
2016-03-03 00:32:00,1.4124,-1.0753,122.95,6.6081,13.463,7.7601,-0.0299999999999999,0.16829,-0.0122399999999999,5.9984,4.4183,4.4867,4.7009,-2.7253,10
2016-03-03 00:33:00,1.4121,-1.1196,123.04,6.8556,13.462,7.756599999999999,-0.02451,-0.1904299999999999,0.0056499999999999,6.1087,4.7128,4.7938,4.972,-2.8939,10
2016-03-03 00:34:00,1.4118,-1.0974,122.99,7.2214,13.462,7.739099999999999,-0.02908,0.3321399999999999,-0.01493,6.2401,4.9248,4.9481,5.2311,-2.6972,10
2016-03-03 00:35:00,1.4121,-1.0974,123.01,7.3277,13.464,7.721599999999999,-0.02963,-0.04871,0.00515,6.2809,4.8903,4.9108,5.1987,-2.6972,10
2016-03-03 00:36:00,1.4126,-1.0974,123.04,7.224999999999999,13.463,7.718099999999998,-0.03109,0.03986,-0.00199,6.2893,4.9241,4.9537,5.198,-2.6972,10
2016-03-03 00:37:00,1.4121,-1.1418,122.97,6.9758,13.463,7.718099999999998,-0.0301799999999999,0.11957,-0.00133,6.2844,4.8875,4.9037,5.1973,-2.6972,10
2016-03-03 00:38:00,1.4126,-1.1196,122.98,6.8303,13.462,7.7112,-0.02195,-0.15057,-0.00348,6.2416,4.7502,4.784,5.0495,-2.6972,10
2016-03-03 00:39:00,1.4124,-1.0974,122.97,6.7769,13.463,7.697199999999999,-0.0267,0.186,-0.0092399999999999,6.2058,4.7199,4.7439,4.9932,-2.7534,10
2016-03-03 00:40:00,1.4126,-1.1307,123.0,6.898,13.462,7.6867,-0.0287199999999999,-0.31,0.0054999999999999,6.248,4.7756,4.8306,5.0594,-2.6972,10
2016-03-03 00:41:00,1.4121,-1.1418,123.02,6.8185,13.462,7.676199999999999,-0.0248799999999999,-0.04871,0.0001399999999999,6.2079,4.7038,4.7017,4.9221,-2.7253,10
2016-03-03 00:42:00,1.4121,-1.1196,123.05,6.8086,13.463,7.671,-0.03036,-0.11071,0.0043299999999999,6.2069,4.8408,4.8845,5.057,-2.9501,10
2016-03-03 00:43:00,1.4118,-1.1418,123.11,7.1971,13.463,7.6552,-0.02707,-0.26128,0.00657,6.3316,5.0074,5.0461,5.2693,-2.7815,10
2016-03-03 00:44:00,1.4118,-1.0753,123.12,7.3235,13.463,7.6552,-0.0287199999999999,-0.1771399999999999,0.01001,6.399,5.1398,5.213,5.4494,-2.6972,10
2016-03-03 00:45:00,1.4113,-1.1085,123.15,7.3506,13.463,7.6378,-0.02835,0.1594299999999999,-0.0023,6.4475,5.1819,5.2298,5.486,-2.6973,10
2016-03-03 00:46:00,1.4118,-1.0974,123.17,7.4974,13.463,7.634299999999999,-0.0351199999999999,-0.02214,0.0059899999999999,6.5641,5.3058,5.3685,5.6245,-2.6973,10
2016-03-03 00:47:00,1.4118,-1.0531,123.17,7.5861,13.463,7.634299999999999,-0.02341,0.19486,-0.00449,6.6399,5.4212,5.4705,5.7124,-2.6973,10
2016-03-03 00:48:00,1.4115,-1.0531,123.15,7.6296,13.462,7.6238,-0.02597,0.0752899999999999,0.0027599999999999,6.7157,5.3945,5.493,5.8046,-2.6974,10
2016-03-03 00:49:00,1.4121,-1.042,123.09,7.5369,13.462,7.613299999999998,-0.02817,0.155,-0.00346,6.694,5.3396,5.3495,5.659,-2.6974,10
2016-03-03 00:50:00,1.4126,-1.0198,123.08,7.1705,13.462,7.613299999999998,-0.0250599999999999,-0.11957,0.0049699999999999,6.6189,5.1672,5.1961,5.4649,-2.6974,10
2016-03-03 00:51:00,1.4124,-1.0864,123.14,6.8702,13.46,7.613299999999998,-0.03164,0.3365699999999999,-0.0084799999999999,6.5297,4.9798,5.0721,5.3607,-2.6974,10
2016-03-03 00:52:00,1.4124,-1.0309,123.16,6.761,13.46,7.613299999999998,-0.02725,-0.155,0.0102799999999999,6.4749,4.92,4.9841,5.2079,-2.8098,10
2016-03-03 00:53:00,1.411,-1.0642,123.17,6.7369,13.462,7.604599999999999,-0.02817,-0.465,0.0096799999999999,6.4268,4.8788,4.8598,5.0598,-2.9784,10
2016-03-03 00:54:00,1.4113,-1.0198,123.2,6.6406,13.463,7.592399999999999,-0.0252399999999999,0.47386,-0.01243,6.3401,4.7214,4.7573,5.001,-3.2313,10
2016-03-03 00:55:00,1.4137,-1.1196,123.18,6.6807,13.463,7.592399999999999,-0.02725,-0.1771399999999999,0.00591,6.3022,4.7115,4.7763,4.9792,-3.3718,10
2016-03-03 00:56:00,1.4126,-1.0531,123.15,6.8541,13.463,7.592399999999999,-0.02561,-0.79271,0.0187,6.3359,4.7953,4.7946,4.9623,-3.1189,10
