measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,system_id
2022-06-02 00:00:00,1.6321,-1.3743,118.12,9.5567,13.357,12.429,-0.01554,0.14169,-0.00346,9.5751,7.9694,7.9806,7.8728,10
2022-06-02 00:01:00,1.633,-1.3633,118.12,9.5115,13.355,12.414,-0.01518,-0.18154,0.0044299999999999,9.5459,7.9156,7.9114,7.8169,10
2022-06-02 00:02:00,1.6327,-1.4298,118.09,9.4409,13.358,12.407,-0.0162799999999999,-0.12398,0.00332,9.5114,7.9063,7.8888,7.787899999999999,10
2022-06-02 00:03:00,1.6327,-1.3743,118.1,9.405,13.357,12.393,-0.0191999999999999,0.08856,-0.0030899999999999,9.4829,7.889599999999999,7.885399999999998,7.737599999999999,10
2022-06-02 00:04:00,1.6319,-1.3965,118.12,9.3808,13.358,12.38,-0.01957,0.35865,-0.0028999999999999,9.4583,7.8551,7.888,7.7591,10
2022-06-02 00:05:00,1.6324,-1.3965,118.38,9.3311,13.358,12.371,-0.01865,-0.01771,0.00192,9.4283,7.7942,7.865599999999999,7.7501,10
2022-06-02 00:06:00,1.6319,-1.4076,118.39,9.2553,13.359,12.358,-0.0190199999999999,-0.04428,0.00429,9.4003,7.7919,7.843,7.7163,10
2022-06-02 00:07:00,1.633,-1.4076,118.36,9.2037,13.358,12.348,-0.01225,-0.3719399999999999,0.00553,9.3754,7.7438,7.816,7.6717,10
2022-06-02 00:08:00,1.6324,-1.4076,118.35,9.1717,13.361,12.326,-0.01207,0.1904,0.00287,9.3473,7.6919,7.782199999999999,7.633,10
2022-06-02 00:09:00,1.6321,-1.3522,118.22,9.1473,13.359,12.308,-0.01225,0.1593999999999999,-0.00076,9.3201,7.679999999999999,7.7724,7.5994,10
2022-06-02 00:10:00,1.6316,-1.3965,118.1,9.1749,13.361,12.295,-0.01975,-0.8014299999999999,0.01421,9.3073,7.644,7.7862,7.6069,10
2022-06-02 00:11:00,1.6302,-1.5184,117.75,9.2148,13.361,12.284,-0.00914,0.22139,0.0002599999999999,9.2895,7.5805,7.8243,7.6653,10
2022-06-02 00:12:00,1.6313,-1.6514,117.58,9.2254,13.363,12.263,-0.01335,0.02657,0.00021,9.2593,7.599999999999999,7.792,7.6449,10
2022-06-02 00:13:00,1.6321,-1.4963,117.82,9.231000000000002,13.363,12.241,-0.01975,-0.2169599999999999,0.0093399999999999,9.2418,7.682699999999999,7.777199999999999,7.5692,10
