measured_on,ac_power__423,ac_voltage__426,ambient_temp__428,das_temp__433,dc_pos_voltage__424,dc_power__422,poa_irradiance__421,system_id
2019-01-30 02:58:00,,121.0,,,,,,10
2019-01-30 03:03:00,,121.0,,,,,,10
2019-01-30 03:10:00,,121.0,,,,,,10
2019-01-30 03:29:00,,121.0,,,,,,10
2019-01-30 04:13:00,,121.0,,,,,,10
2019-01-30 04:39:00,,121.0,,,,,,10
2019-01-30 04:53:00,,121.0,,,,,,10
2019-01-30 06:41:00,,121.0,,,,,,10
2019-01-30 07:00:00,,,,,,,0.0,10
2019-01-30 07:01:00,,,,,,,0.0,10
2019-01-30 07:10:00,,121.0,,,,,,10
2019-01-30 07:41:00,,,,,,202.0,,10
2019-01-30 08:48:00,609.0,,,,,,647.0,10
2019-01-30 09:01:00,,,,,239.0,,,10
2019-01-30 09:52:00,,,,,,715.0,,10
2019-01-30 10:05:00,,,,,,1004.0,,10
2019-01-30 10:09:00,647.0,,,,,,,10
2019-01-30 10:24:00,,,,,,868.0,,10
2019-01-30 10:47:00,,124.0,,,,1095.0,1049.0,10
2019-01-30 10:48:00,,,,,,,1050.0,10
2019-01-30 10:51:00,,,,,,1110.0,,10
2019-01-30 10:52:00,,,,,,1111.0,,10
2019-01-30 10:58:00,,,,,,,1076.0,10
2019-01-30 11:01:00,,,,,,1139.0,1085.0,10
2019-01-30 11:16:00,,,,,,,1140.0,10
2019-01-30 11:22:00,,,,,,1198.0,,10
2019-01-30 11:27:00,,,,,,1093.0,,10
2019-01-30 11:29:00,,124.0,,,,1014.0,,10
2019-01-30 11:40:00,,,,,,1045.0,,10
2019-01-30 11:43:00,,,,,,,1054.0,10
2019-01-30 11:44:00,,,,,228.0,,,10
2019-01-30 11:46:00,,,,,,,1127.0,10
2019-01-30 11:48:00,,,,,,1189.0,,10
2019-01-30 11:50:00,1067.0,,,,,,,10
2019-01-30 11:52:00,,,,,,,1233.0,10
2019-01-30 11:53:00,1007.0,,,,,1217.0,,10
2019-01-30 12:00:00,1016.0,,,,,,,10
2019-01-30 12:03:00,,,,,,1213.0,,10
2019-01-30 12:09:00,,,,,,,1179.0,10
2019-01-30 12:17:00,,,,,,,1172.0,10
2019-01-30 12:18:00,,,,,,,1172.0,10
2019-01-30 12:23:00,,,,,,1195.0,,10
2019-01-30 12:26:00,,,,,,,1170.0,10
2019-01-30 12:35:00,1012.0,,,,,,,10
2019-01-30 12:36:00,1011.0,,,,,,,10
2019-01-30 12:40:00,1011.0,,,,,,,10
2019-01-30 12:42:00,,,,,231.0,,,10
2019-01-30 12:43:00,,,,12.0,,,,10
2019-01-30 12:48:00,,125.0,,,,,,10
2019-01-30 12:51:00,,,,,,1235.0,,10
2019-01-30 12:53:00,1007.0,,,,,,,10
2019-01-30 12:57:00,1009.0,,,,,,,10
2019-01-30 13:01:00,,,,,,1079.0,,10
2019-01-30 13:02:00,,,,,,1072.0,,10
2019-01-30 13:18:00,,,,,,1011.0,,10
2019-01-30 13:20:00,,,,,234.0,,,10
2019-01-30 13:23:00,,,,,,,1115.0,10
2019-01-30 13:31:00,,,,,231.0,,,10
2019-01-30 13:45:00,,,,,231.0,,,10
2019-01-30 13:57:00,,,,,,,312.0,10
2019-01-30 14:52:00,,123.0,,,233.0,,,10
2019-01-30 14:53:00,,123.0,,,,,,10
2019-01-30 14:55:00,,123.0,,,,,,10
2019-01-30 15:02:00,,,,,,212.0,,10
2019-01-30 15:03:00,,123.0,,,,,,10
2019-01-30 15:04:00,,123.0,,,,,,10
2019-01-30 15:21:00,466.0,,,,,,,10
2019-01-30 15:43:00,,,,,231.0,,,10
2019-01-30 16:09:00,,,,,,533.0,,10
2019-01-30 16:20:00,291.0,,,,,,,10
2019-01-30 16:35:00,,123.0,,,,,,10
2019-01-30 16:50:00,,,,,237.0,,,10
2019-01-30 17:09:00,,122.0,,,,,,10
2019-01-30 19:08:00,,,3.0,,,,,10
2019-01-30 19:30:00,,,,6.0,,,,10
2019-01-30 20:57:00,,122.0,,,,,,10
2019-01-30 22:58:00,,,,,0.0,,,10
